repo_full,detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,scenario_detector_rows,mean_strict_incremental_episode_detected,strict_incremental_episode_detected_valid_observations,mean_strict_incremental_detection_delay_weeks,strict_incremental_detection_delay_weeks_valid_observations,mean_reference_alarm_burden,reference_alarm_burden_valid_observations,mean_incremental_alarm_duration_weeks,incremental_alarm_duration_weeks_valid_observations,mean_incremental_spillover_weeks,incremental_spillover_weeks_valid_observations,mean_total_operational_episode_detected,total_operational_episode_detected_valid_observations,mean_reference_alarm_overlap_fraction,reference_alarm_overlap_fraction_valid_observations,mean_incremental_boundary_overlap,incremental_boundary_overlap_valid_observations,mean_pair_unevaluable_fraction,pair_unevaluable_fraction_valid_observations,mean_injection_relative_precision,injection_relative_precision_valid_observations,mean_injection_relative_false_alarm_rate,injection_relative_false_alarm_rate_valid_observations,mean_incremental_detected_within_0w_post,incremental_detected_within_0w_post_valid_observations,mean_incremental_detected_within_1w_post,incremental_detected_within_1w_post_valid_observations,mean_incremental_detected_within_2w_post,incremental_detected_within_2w_post_valid_observations,mean_incremental_detected_within_4w_post,incremental_detected_within_4w_post_valid_observations
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,high,1,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,0.0,100,0.02272727272727274,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,high,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,high,1,observed,none,100,0.05,100,0.0,5,0.04444444444444437,100,0.18,100,0.13,100,0.08,100,0.03,100,0.045,100,0.021739130434782653,100,0.030833333333333334,100,0.04772727272727277,100,0.05,100,0.17,100,0.17,100,0.17,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,high,1,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,high,1,observed,none,100,0.03,100,0.0,3,0.0,100,0.11,100,0.08,100,0.03,100,0.0,100,0.02,100,0.0,100,0.2222222222222222,9,0.0017777777777777779,100,0.03,100,0.06,100,0.09,100,0.09,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.0,100,,0,0.0,100,0.02,100,0.02,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,0.0,2,0.00045454545454545455,100,0.0,100,0.02,100,0.02,100,0.02,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.02,100,0.0,2,0.022222222222222185,100,0.04,100,0.02,100,0.03,100,0.01,100,0.02,100,0.021739130434782653,100,0.021052631578947368,95,0.02181818181818182,100,0.02,100,0.02,100,0.03,100,0.03,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.0,100,,0,0.0,100,0.02,100,0.02,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,0.0,2,0.00045454545454545455,100,0.0,100,0.02,100,0.02,100,0.02,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.1,100,0.0,10,0.04444444444444437,100,0.23,100,0.13,100,0.12,100,0.02,100,0.1,100,0.021739130434782653,100,0.04833333333333333,100,0.044318181818181826,100,0.1,100,0.21,100,0.21,100,0.21,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,1,low_volume,none,100,0.04,100,0.0,4,0.0,100,0.1,100,0.06,100,0.04,100,0.0,100,0.035,100,0.0,100,0.3888888888888889,9,0.0013333333333333333,100,0.04,100,0.07,100,0.08,100,0.09,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,,0,0.2993478260869569,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.01,100,0.01,100,0.0,98,0.021739130434782653,100,0.01,100,0.022489898989898994,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,98,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.043617383982009796,100,0.0,100,0.0,100,0.0,100,0.0,100,,0,0.2993478260869569,100,0.0,93,0.043617383982009796,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,,0,0.2993478260869569,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,1,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,low,2,observed,none,100,0.82,100,1.0,82,0.0,100,0.82,100,0.0,100,0.82,100,0.0,100,0.415,100,0.021739130434782653,100,1.0,82,0.0,100,0.82,100,0.82,100,0.82,100,0.82,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,low,2,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.06,100,0.03,100,0.0,100,0.021739130434782653,100,0.06,100,0.02185517970401694,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,low,2,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,low,2,observed,none,100,0.75,100,0.92,75,0.04444444444444437,100,0.9,100,0.09,100,0.82,100,0.05,100,0.3949999999999999,100,0.021739130434782653,100,0.2966666666666664,100,0.046268498942917596,100,0.75,100,0.75,100,0.75,100,0.75,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,low,2,observed,none,100,0.07,100,1.0,7,0.0,100,0.07,100,0.0,100,0.07,100,0.0,100,0.035,100,0.021739130434782653,100,1.0,7,0.0,100,0.07,100,0.07,100,0.07,100,0.07,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,low,2,observed,none,100,0.03,100,1.0,3,0.0,100,0.07,100,0.04,100,0.03,100,0.0,100,0.015,100,0.0,100,0.42857142857142855,7,0.0009090909090909091,100,0.03,100,0.07,100,0.07,100,0.07,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,2,observed,none,100,1.0,100,1.0,100,0.0,100,1.01,100,0.01,100,1.0,100,0.0,100,0.5083333333333333,100,0.021739130434782653,100,0.995,100,0.0002325581395348837,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,2,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.05,100,0.025,100,0.0,100,0.021739130434782653,100,0.05,100,0.022082452431289666,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,2,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,2,observed,none,100,0.98,100,0.8877551020408163,98,0.04444444444444437,100,1.18,100,0.09,100,1.0,100,0.035,100,0.54,100,0.021739130434782653,100,0.36083333333333323,100,0.04695560253699794,100,0.98,100,0.98,100,0.98,100,0.98,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,2,observed,none,100,0.02,100,1.0,2,0.0,100,0.02,100,0.0,100,0.02,100,0.0,100,0.01,100,0.021739130434782653,100,1.0,2,0.0,100,0.02,100,0.02,100,0.02,100,0.02,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,2,observed,none,100,0.91,100,0.9560439560439561,91,0.0,100,1.51,100,0.56,100,0.91,100,0.0,100,0.3911666666666667,100,0.0,100,0.7673992673992674,91,0.01272727272727272,100,0.91,100,0.91,100,0.91,100,0.91,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,high,2,observed,none,100,1.0,100,1.0,100,0.0,100,1.01,100,0.01,100,1.0,100,0.0,100,0.5083333333333333,100,0.021739130434782653,100,0.995,100,0.0002325581395348837,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,high,2,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.06,100,0.03,100,0.0,100,0.021739130434782653,100,0.06,100,0.02184989429175478,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,high,2,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,high,2,observed,none,100,0.93,100,0.8924731182795699,93,0.04444444444444437,100,1.07,100,0.04,100,1.0,100,0.06,100,0.5183333333333333,100,0.021739130434782653,100,0.37416666666666665,100,0.0446300211416491,100,0.93,100,0.93,100,0.93,100,0.93,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,high,2,observed,none,100,0.07,100,1.0,7,0.0,100,0.07,100,0.0,100,0.07,100,0.0,100,0.035,100,0.021739130434782653,100,1.0,7,0.0,100,0.07,100,0.07,100,0.07,100,0.07,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,high,2,observed,none,100,1.0,100,0.95,100,0.0,100,2.15,100,1.1,100,1.0,100,0.0,100,0.3621666666666667,100,0.0,100,0.5730000000000002,100,0.025,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,2,low_volume,none,100,1.0,100,1.0,100,0.0,100,1.03,100,0.03,100,1.0,100,0.0,100,0.51,100,0.021739130434782653,100,0.985,100,0.0006976744186046512,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,2,low_volume,none,100,0.02,100,1.0,2,0.022222222222222185,100,0.07,100,0.05,100,0.03,100,0.015,100,0.006666666666666666,100,0.021739130434782653,100,0.02713178294573643,86,0.020449260042283323,100,0.02,100,0.02,100,0.02,100,0.02,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,2,low_volume,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,2,low_volume,none,100,0.98,100,0.9183673469387755,98,0.04444444444444437,100,1.19,100,0.13,100,1.0,100,0.02,100,0.5233333333333334,100,0.021739130434782653,100,0.3891666666666667,100,0.04252642706131083,100,0.98,100,0.98,100,0.98,100,0.98,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,2,low_volume,none,100,0.04,100,1.0,4,0.0,100,0.04,100,0.0,100,0.04,100,0.0,100,0.02,100,0.021739130434782653,100,1.0,4,0.0,100,0.04,100,0.04,100,0.04,100,0.04,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,2,low_volume,none,100,0.87,100,0.8735632183908046,87,0.0,100,1.63,100,0.65,100,0.87,100,0.0,100,0.3812619047619048,100,0.0,100,0.732183908045977,87,0.014772727272727266,100,0.87,100,0.87,100,0.87,100,0.87,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,48,0.2941304347826091,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.02,100,0.01,100,0.0,100,0.021739130434782653,100,0.02,100,0.02278012684989432,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.08,100,0.0,8,0.04475931847515852,100,0.08,100,0.0,100,0.1,100,0.02,100,0.16666666666666666,48,0.2941304347826091,100,0.053763440860215055,93,0.04476992913942691,100,0.08,100,0.08,100,0.08,100,0.08,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,48,0.2941304347826091,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,2,observed,controlled,100,0.05,100,0.4,5,0.0,100,0.1,100,0.05,100,0.05,100,0.0,100,0.025,100,0.0,100,0.5,10,0.0011363636363636365,100,0.05,100,0.06,100,0.1,100,0.1,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,low,4,observed,none,100,0.89,100,1.0561797752808988,89,0.0,100,2.43,100,0.0,100,0.89,100,0.0,100,0.6124999999999999,100,0.021739130434782653,100,1.0,89,0.0,100,0.89,100,0.89,100,0.89,100,0.89,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,low,4,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.12,100,0.03,100,0.0,100,0.021739130434782653,100,0.12,100,0.021445993031358898,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,low,4,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,low,4,observed,none,100,0.89,100,1.0,89,0.04444444444444437,100,2.4,100,0.1,100,0.89,100,0.06,100,0.568,100,0.021739130434782653,100,0.5330000000000006,100,0.0453310104529617,100,0.89,100,0.89,100,0.89,100,0.89,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,low,4,observed,none,100,0.2,100,2.3,20,0.0,100,0.2,100,0.0,100,0.2,100,0.0,100,0.05,100,0.021739130434782653,100,1.0,20,0.0,100,0.2,100,0.2,100,0.2,100,0.2,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,low,4,observed,none,100,0.24,100,2.5416666666666665,24,0.0,100,0.37,100,0.07,100,0.24,100,0.0,100,0.07166666666666668,100,0.0,100,0.8680555555555557,24,0.0016666666666666666,100,0.24,100,0.24,100,0.24,100,0.24,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,4,observed,none,100,1.0,100,1.0,100,0.0,100,3.02,100,0.02,100,1.0,100,0.0,100,0.7545000000000001,100,0.021739130434782653,100,0.995,100,0.0004878048780487805,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,4,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.13,100,0.0325,100,0.0,100,0.021739130434782653,100,0.13,100,0.021202090592334508,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,4,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,4,observed,none,100,1.0,100,0.95,100,0.04444444444444437,100,3.08,100,0.12,100,1.0,100,0.0475,100,0.7315,100,0.021739130434782653,100,0.6231666666666671,100,0.047038327526132434,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,medium,4,observed,none,100,0.11,100,2.090909090909091,11,0.0,100,0.11,100,0.0,100,0.11,100,0.0,100,0.0275,100,0.021739130434782653,100,1.0,11,0.0,100,0.11,100,0.11,100,0.11,100,0.11,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,medium,4,observed,none,100,1.0,100,1.08,100,0.0,100,5.53,100,2.61,100,1.0,100,0.0,100,0.451154761904762,100,0.0,100,0.5435714285714288,100,0.062142857142857076,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,high,4,observed,none,100,1.0,100,1.0,100,0.0,100,3.0,100,0.0,100,1.0,100,0.0,100,0.755,100,0.021739130434782653,100,1.0,100,0.0,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,high,4,observed,none,100,0.0,100,,0,0.022222222222222185,100,0.0,100,0.0,100,0.07,100,0.0175,100,0.0,100,0.021739130434782653,100,0.07,100,0.022671312427410002,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,high,4,observed,none,100,0.0,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.021739130434782653,100,,0,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,high,4,observed,none,100,1.0,100,0.93,100,0.04444444444444437,100,3.07,100,0.09,100,1.0,100,0.04,100,0.7390000000000001,100,0.021739130434782653,100,0.6210000000000006,100,0.047049941927990745,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,two_of_three,metric_shift,latency_log,1,high,4,observed,none,100,0.11,100,2.0,11,0.0,100,0.11,100,0.0,100,0.11,100,0.0,100,0.0275,100,0.021739130434782653,100,1.0,11,0.0,100,0.11,100,0.11,100,0.11,100,0.11,100
containerd/containerd,mewma,mewma,metric_shift,latency_log,1,high,4,observed,none,100,1.0,100,0.94,100,0.0,100,6.1,100,3.04,100,1.0,100,0.0,100,0.444607142857143,100,0.0,100,0.5126071428571428,100,0.0723809523809523,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,latency_log,metric_shift,latency_log,1,medium,4,low_volume,none,100,1.0,100,1.0,100,0.0,100,3.03,100,0.03,100,1.0,100,0.0,100,0.7530000000000001,100,0.021739130434782653,100,0.9925,100,0.0007317073170731708,100,1.0,100,1.0,100,1.0,100,1.0,100
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,latency_log,1,medium,4,low_volume,none,100,0.03,100,1.6666666666666667,3,0.022222222222222185,100,0.16,100,0.1,100,0.06,100,0.02,100,0.014499999999999999,100,0.021739130434782653,100,0.06833333333333333,80,0.020708478513356575,100,0.03,100,0.03,100,0.04,100,0.07,100
containerd/containerd,causal_rolling_mad,rerun_rate,metric_shift,latency_log,1,medium,4,low_volume,none,100,0.06,100,1.5,6,0.0,100,0.06,100,0.0,100,0.06,100,0.0,100,0.01583333333333333,100,0.021739130434782653,100,1.0,6,0.0,100,0.06,100,0.06,100,0.06,100,0.06,100
containerd/containerd,causal_rolling_mad,union,metric_shift,latency_log,1,medium,4,low_volume,none,100,1.0,100,0.97,100,0.04444444444444437,100,3.14,100,0.19,100,1.0,100,0.04,100,0.7180000000000001,100,0.021739130434782653,100,0.6713571428571429,100,0.04069105691056914,100,1.0,100,1.0,100,1.0,100,1.0,100
