scenario_id,repo_full,scenario_type,affected_metrics,dimensionality,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,repetition,seed,start_index,end_index,injected_weeks,status
B000000013,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,11,9158844515209544686,19.0,19.0,"[""2025-11-03""]",evaluable
B000000014,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,12,5621185861513701232,45.0,45.0,"[""2026-05-04""]",evaluable
B000000015,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,13,9613630099634058823,56.0,56.0,"[""2026-07-20""]",evaluable
B000000016,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,14,13997055432439665164,19.0,19.0,"[""2025-11-03""]",evaluable
B000000017,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,15,13694440692628206179,48.0,48.0,"[""2026-05-25""]",evaluable
B000000018,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,16,11604057184008563751,32.0,32.0,"[""2026-02-02""]",evaluable
B000000019,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,17,1827348861310879471,20.0,20.0,"[""2025-11-10""]",evaluable
B000000020,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,18,981005662452412052,35.0,35.0,"[""2026-02-23""]",evaluable
B000000021,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,19,7675397280948273356,29.0,29.0,"[""2026-01-12""]",evaluable
B000000022,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,20,15998201060182273423,14.0,14.0,"[""2025-09-29""]",evaluable
B000000023,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,21,16391694686709963823,44.0,44.0,"[""2026-04-27""]",evaluable
B000000024,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,22,11732899081534068582,39.0,39.0,"[""2026-03-23""]",evaluable
B000000025,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,23,12725244651313296357,14.0,14.0,"[""2025-09-29""]",evaluable
B000000026,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,24,6785580351002254610,49.0,49.0,"[""2026-06-01""]",evaluable
B000000027,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,25,6015043034472560691,24.0,24.0,"[""2025-12-08""]",evaluable
B000000028,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,26,823970825834988786,55.0,55.0,"[""2026-07-13""]",evaluable
B000000029,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,27,1052842687743151994,19.0,19.0,"[""2025-11-03""]",evaluable
B000000030,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,28,16657879089313897673,18.0,18.0,"[""2025-10-27""]",evaluable
B000000031,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,29,14187921437558305184,39.0,39.0,"[""2026-03-23""]",evaluable
B000000032,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,30,359371900080355292,29.0,29.0,"[""2026-01-12""]",evaluable
B000000033,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,31,6146608058961996874,41.0,41.0,"[""2026-04-06""]",evaluable
B000000034,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,32,127021459267572967,56.0,56.0,"[""2026-07-20""]",evaluable
B000000035,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,33,10827386774297979017,44.0,44.0,"[""2026-04-27""]",evaluable
B000000036,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,34,2609458348175667429,58.0,58.0,"[""2026-08-03""]",evaluable
B000000037,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,35,11376744575893445800,39.0,39.0,"[""2026-03-23""]",evaluable
B000000038,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,36,10923211189076541827,52.0,52.0,"[""2026-06-22""]",evaluable
B000000039,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,37,11874960823663308190,15.0,15.0,"[""2025-10-06""]",evaluable
B000000040,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,38,4661815619215243946,27.0,27.0,"[""2025-12-29""]",evaluable
B000000041,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,39,5021025234884475624,37.0,37.0,"[""2026-03-09""]",evaluable
B000000042,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,40,16413657749989346191,24.0,24.0,"[""2025-12-08""]",evaluable
B000000043,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,41,8355035285222068529,44.0,44.0,"[""2026-04-27""]",evaluable
B000000044,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,42,11907901234269938682,51.0,51.0,"[""2026-06-15""]",evaluable
B000000045,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,43,324169003222706973,46.0,46.0,"[""2026-05-11""]",evaluable
B000000046,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,44,8735371735147715419,42.0,42.0,"[""2026-04-13""]",evaluable
B000000047,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,45,17232713864945248889,40.0,40.0,"[""2026-03-30""]",evaluable
B000000048,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,46,7613697218716629561,48.0,48.0,"[""2026-05-25""]",evaluable
B000000049,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,47,17356859256068472727,42.0,42.0,"[""2026-04-13""]",evaluable
B000000050,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,48,2799353481188480089,30.0,30.0,"[""2026-01-19""]",evaluable
B000000051,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,49,15252548690429597349,36.0,36.0,"[""2026-03-02""]",evaluable
B000000052,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,50,11889351946662879794,17.0,17.0,"[""2025-10-20""]",evaluable
B000000053,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,51,3191316810974005256,19.0,19.0,"[""2025-11-03""]",evaluable
B000000054,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,52,13624586007644524377,14.0,14.0,"[""2025-09-29""]",evaluable
B000000055,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,53,6228069210107054548,15.0,15.0,"[""2025-10-06""]",evaluable
B000000056,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,54,9692760365989825573,22.0,22.0,"[""2025-11-24""]",evaluable
B000000057,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,55,369168798946596332,21.0,21.0,"[""2025-11-17""]",evaluable
B000000058,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,56,8256111528603892404,39.0,39.0,"[""2026-03-23""]",evaluable
B000000059,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,57,15596460573836654674,33.0,33.0,"[""2026-02-09""]",evaluable
B000000060,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,58,10775298272992847865,32.0,32.0,"[""2026-02-02""]",evaluable
B000000061,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,59,4867409362498877107,36.0,36.0,"[""2026-03-02""]",evaluable
B000000062,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,60,11539517022188036989,38.0,38.0,"[""2026-03-16""]",evaluable
B000000063,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,61,13977346260984598467,16.0,16.0,"[""2025-10-13""]",evaluable
B000000064,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,62,4364686571106574689,38.0,38.0,"[""2026-03-16""]",evaluable
B000000065,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,63,9063972898746829611,16.0,16.0,"[""2025-10-13""]",evaluable
B000000066,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,64,724132831505284354,49.0,49.0,"[""2026-06-01""]",evaluable
B000000067,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,65,4534147623420050910,25.0,25.0,"[""2025-12-15""]",evaluable
B000000068,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,66,16357784558000748426,47.0,47.0,"[""2026-05-18""]",evaluable
B000000069,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,67,4593856515150630539,36.0,36.0,"[""2026-03-02""]",evaluable
B000000070,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,68,10199294156120574166,37.0,37.0,"[""2026-03-09""]",evaluable
B000000071,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,69,11257184088336134021,44.0,44.0,"[""2026-04-27""]",evaluable
B000000072,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,70,3203744764382346921,44.0,44.0,"[""2026-04-27""]",evaluable
B000000073,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,71,4689430221902548360,27.0,27.0,"[""2025-12-29""]",evaluable
B000000074,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,72,15356566062788611135,30.0,30.0,"[""2026-01-19""]",evaluable
B000000075,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,73,5927306129999398429,18.0,18.0,"[""2025-10-27""]",evaluable
B000000076,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,74,17890533805508700944,53.0,53.0,"[""2026-06-29""]",evaluable
B000000077,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,75,16451033887015004966,15.0,15.0,"[""2025-10-06""]",evaluable
B000000078,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,76,13338301619252452856,15.0,15.0,"[""2025-10-06""]",evaluable
B000000079,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,77,13985768745064462070,55.0,55.0,"[""2026-07-13""]",evaluable
B000000080,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,78,6668562239991189146,43.0,43.0,"[""2026-04-20""]",evaluable
B000000081,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,79,18024269076860054359,40.0,40.0,"[""2026-03-30""]",evaluable
B000000082,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,80,17070883000437450967,18.0,18.0,"[""2025-10-27""]",evaluable
B000000083,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,81,14220729526602893935,48.0,48.0,"[""2026-05-25""]",evaluable
B000000084,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,82,6547510840160738938,23.0,23.0,"[""2025-12-01""]",evaluable
B000000085,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,83,6695298926150737967,30.0,30.0,"[""2026-01-19""]",evaluable
B000000086,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,84,40800620333876074,37.0,37.0,"[""2026-03-09""]",evaluable
B000000087,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,85,16970463459872429143,32.0,32.0,"[""2026-02-02""]",evaluable
B000000088,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,86,14040190482773248463,38.0,38.0,"[""2026-03-16""]",evaluable
B000000089,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,87,6020904976644861602,43.0,43.0,"[""2026-04-20""]",evaluable
B000000090,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,88,18212288473265057754,45.0,45.0,"[""2026-05-04""]",evaluable
B000000091,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,89,15807729803789842948,21.0,21.0,"[""2025-11-17""]",evaluable
B000000092,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,90,7234017776654869193,50.0,50.0,"[""2026-06-08""]",evaluable
B000000093,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,91,12347569242492913295,36.0,36.0,"[""2026-03-02""]",evaluable
B000000094,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,92,12837563949971140290,35.0,35.0,"[""2026-02-23""]",evaluable
B000000095,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,93,7703267820874399088,17.0,17.0,"[""2025-10-20""]",evaluable
B000000096,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,94,4146729274161265049,24.0,24.0,"[""2025-12-08""]",evaluable
B000000097,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,95,821836707150661277,38.0,38.0,"[""2026-03-16""]",evaluable
B000000098,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,96,16725552336195715521,48.0,48.0,"[""2026-05-25""]",evaluable
B000000099,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,97,4933069989247493095,30.0,30.0,"[""2026-01-19""]",evaluable
B000000100,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,98,7035350503745897566,25.0,25.0,"[""2025-12-15""]",evaluable
B000000101,containerd/containerd,metric_shift,latency_log,1,low,"{""latency_log"": 0.1}",1,observed,none,99,6078449940199301558,27.0,27.0,"[""2025-12-29""]",evaluable
B000000102,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,0,8717084921100080609,40.0,40.0,"[""2026-03-30""]",evaluable
B000000103,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,1,17646511138939083836,57.0,57.0,"[""2026-07-27""]",evaluable
B000000104,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,2,12839223917346414769,18.0,18.0,"[""2025-10-27""]",evaluable
B000000105,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,3,12881273202842222707,30.0,30.0,"[""2026-01-19""]",evaluable
B000000106,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,4,17786175899868468867,16.0,16.0,"[""2025-10-13""]",evaluable
B000000107,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,5,12312807222962744470,57.0,57.0,"[""2026-07-27""]",evaluable
B000000108,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,6,6234290781370999730,43.0,43.0,"[""2026-04-20""]",evaluable
B000000109,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,7,3311180529770183868,51.0,51.0,"[""2026-06-15""]",evaluable
B000000110,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,8,7601945303699878955,54.0,54.0,"[""2026-07-06""]",evaluable
B000000111,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,9,12383256108835989285,54.0,54.0,"[""2026-07-06""]",evaluable
B000000112,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,10,16230692163493713591,46.0,46.0,"[""2026-05-11""]",evaluable
B000000113,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,11,1307586261491070688,31.0,31.0,"[""2026-01-26""]",evaluable
B000000114,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,12,16223905783833307243,32.0,32.0,"[""2026-02-02""]",evaluable
B000000115,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,13,17387383204677392270,47.0,47.0,"[""2026-05-18""]",evaluable
B000000116,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,14,5081588429223852066,47.0,47.0,"[""2026-05-18""]",evaluable
B000000117,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,15,3540708338217413366,29.0,29.0,"[""2026-01-12""]",evaluable
B000000118,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,16,15088969560554035,40.0,40.0,"[""2026-03-30""]",evaluable
B000000119,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,17,4224274122068695726,57.0,57.0,"[""2026-07-27""]",evaluable
B000000120,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,18,16565983883591234470,37.0,37.0,"[""2026-03-09""]",evaluable
B000000121,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,19,14538688469340625849,28.0,28.0,"[""2026-01-05""]",evaluable
B000000122,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,20,2723852804288274613,24.0,24.0,"[""2025-12-08""]",evaluable
B000000123,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,21,9831436867349066868,33.0,33.0,"[""2026-02-09""]",evaluable
B000000124,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,22,5310916464653580340,15.0,15.0,"[""2025-10-06""]",evaluable
B000000125,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,23,9523080859714724862,45.0,45.0,"[""2026-05-04""]",evaluable
B000000126,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,24,5150495037567088009,34.0,34.0,"[""2026-02-16""]",evaluable
B000000127,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,25,15599859538588336569,42.0,42.0,"[""2026-04-13""]",evaluable
B000000128,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,26,7203947704891852236,47.0,47.0,"[""2026-05-18""]",evaluable
B000000129,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,27,3953826346218522031,58.0,58.0,"[""2026-08-03""]",evaluable
B000000130,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,28,13003621626608983914,49.0,49.0,"[""2026-06-01""]",evaluable
B000000131,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,29,12314550634843092635,28.0,28.0,"[""2026-01-05""]",evaluable
B000000132,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,30,5370548703330287755,50.0,50.0,"[""2026-06-08""]",evaluable
B000000133,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,31,487622539304727351,22.0,22.0,"[""2025-11-24""]",evaluable
B000000134,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,32,2759008128147347233,14.0,14.0,"[""2025-09-29""]",evaluable
B000000135,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,33,6689919715832652369,18.0,18.0,"[""2025-10-27""]",evaluable
B000000136,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,34,15482483789796922047,22.0,22.0,"[""2025-11-24""]",evaluable
B000000137,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,35,2019238007478524541,44.0,44.0,"[""2026-04-27""]",evaluable
B000000138,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,36,5513059996072727341,18.0,18.0,"[""2025-10-27""]",evaluable
B000000139,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,37,16158389270539524463,50.0,50.0,"[""2026-06-08""]",evaluable
B000000140,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,38,594894578426981233,24.0,24.0,"[""2025-12-08""]",evaluable
B000000141,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,39,18114048630707731206,31.0,31.0,"[""2026-01-26""]",evaluable
B000000142,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,40,6742868691235484642,55.0,55.0,"[""2026-07-13""]",evaluable
B000000143,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,41,9940168958556634933,52.0,52.0,"[""2026-06-22""]",evaluable
B000000144,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,42,3029633319218317899,18.0,18.0,"[""2025-10-27""]",evaluable
B000000145,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,43,15711902604455506024,41.0,41.0,"[""2026-04-06""]",evaluable
B000000146,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,44,14651240312440403706,17.0,17.0,"[""2025-10-20""]",evaluable
B000000147,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,45,1185334631712265644,49.0,49.0,"[""2026-06-01""]",evaluable
B000000148,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,46,14495473216251592574,55.0,55.0,"[""2026-07-13""]",evaluable
B000000149,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,47,3781293676136380354,13.0,13.0,"[""2025-09-22""]",evaluable
B000000150,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,48,5924003149940508672,47.0,47.0,"[""2026-05-18""]",evaluable
B000000151,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,49,1044556033094599219,46.0,46.0,"[""2026-05-11""]",evaluable
B000000152,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,50,17246767605820793080,45.0,45.0,"[""2026-05-04""]",evaluable
B000000153,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,51,14437742022740120015,38.0,38.0,"[""2026-03-16""]",evaluable
B000000154,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,52,10134257777646978336,55.0,55.0,"[""2026-07-13""]",evaluable
B000000155,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,53,11072663859704577573,40.0,40.0,"[""2026-03-30""]",evaluable
B000000156,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,54,9132602385239906088,53.0,53.0,"[""2026-06-29""]",evaluable
B000000157,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,55,11069894938416447790,57.0,57.0,"[""2026-07-27""]",evaluable
B000000158,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,56,969071177560503078,53.0,53.0,"[""2026-06-29""]",evaluable
B000000159,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,57,2819529152447955179,16.0,16.0,"[""2025-10-13""]",evaluable
B000000160,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,58,15049726361135897249,32.0,32.0,"[""2026-02-02""]",evaluable
B000000161,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,59,5972865913301207217,14.0,14.0,"[""2025-09-29""]",evaluable
B000000162,containerd/containerd,metric_shift,latency_log,1,medium,"{""latency_log"": 0.25}",1,observed,none,60,8428868266190671434,23.0,23.0,"[""2025-12-01""]",evaluable
