scenario_id,repo_full,scenario_type,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,repetition,seed,start_index,end_index,injected_weeks,status,unsupported_reason
S000000060,docker/cli,no_injection,none,none,{},0,observed,none,59,13896526323208775226,,,[],evaluable,
S000000061,docker/cli,no_injection,none,none,{},0,observed,none,60,9423019107956757845,,,[],evaluable,
S000000062,docker/cli,no_injection,none,none,{},0,observed,none,61,6193199709885213585,,,[],evaluable,
S000000063,docker/cli,no_injection,none,none,{},0,observed,none,62,17263545335725592644,,,[],evaluable,
S000000064,docker/cli,no_injection,none,none,{},0,observed,none,63,6009031872748616119,,,[],evaluable,
S000000065,docker/cli,no_injection,none,none,{},0,observed,none,64,5563073461528294049,,,[],evaluable,
S000000066,docker/cli,no_injection,none,none,{},0,observed,none,65,1837115499093416197,,,[],evaluable,
S000000067,docker/cli,no_injection,none,none,{},0,observed,none,66,18286516038225151007,,,[],evaluable,
S000000068,docker/cli,no_injection,none,none,{},0,observed,none,67,5574877797575257542,,,[],evaluable,
S000000069,docker/cli,no_injection,none,none,{},0,observed,none,68,1685954363217496542,,,[],evaluable,
S000000070,docker/cli,no_injection,none,none,{},0,observed,none,69,2940470833137115080,,,[],evaluable,
S000000071,docker/cli,no_injection,none,none,{},0,observed,none,70,11523572133156674382,,,[],evaluable,
S000000072,docker/cli,no_injection,none,none,{},0,observed,none,71,11907106441464867622,,,[],evaluable,
S000000073,docker/cli,no_injection,none,none,{},0,observed,none,72,1624541524754975399,,,[],evaluable,
S000000074,docker/cli,no_injection,none,none,{},0,observed,none,73,15964272949447522399,,,[],evaluable,
S000000075,docker/cli,no_injection,none,none,{},0,observed,none,74,7805671778195771861,,,[],evaluable,
S000000076,docker/cli,no_injection,none,none,{},0,observed,none,75,14276679911200287059,,,[],evaluable,
S000000077,docker/cli,no_injection,none,none,{},0,observed,none,76,14055993954273156017,,,[],evaluable,
S000000078,docker/cli,no_injection,none,none,{},0,observed,none,77,8571497292576272704,,,[],evaluable,
S000000079,docker/cli,no_injection,none,none,{},0,observed,none,78,16123303848417617926,,,[],evaluable,
S000000080,docker/cli,no_injection,none,none,{},0,observed,none,79,18229375707609511237,,,[],evaluable,
S000000081,docker/cli,no_injection,none,none,{},0,observed,none,80,1700900234768587406,,,[],evaluable,
S000000082,docker/cli,no_injection,none,none,{},0,observed,none,81,7706741962335930378,,,[],evaluable,
S000000083,docker/cli,no_injection,none,none,{},0,observed,none,82,7262270725432983972,,,[],evaluable,
S000000084,docker/cli,no_injection,none,none,{},0,observed,none,83,11092142623556822268,,,[],evaluable,
S000000085,docker/cli,no_injection,none,none,{},0,observed,none,84,15936541875590112573,,,[],evaluable,
S000000086,docker/cli,no_injection,none,none,{},0,observed,none,85,10146596467229101001,,,[],evaluable,
S000000087,docker/cli,no_injection,none,none,{},0,observed,none,86,5611534965429178328,,,[],evaluable,
S000000088,docker/cli,no_injection,none,none,{},0,observed,none,87,13111984668210665507,,,[],evaluable,
S000000089,docker/cli,no_injection,none,none,{},0,observed,none,88,6110972380709983922,,,[],evaluable,
S000000090,docker/cli,no_injection,none,none,{},0,observed,none,89,9003836319027789260,,,[],evaluable,
S000000091,docker/cli,no_injection,none,none,{},0,observed,none,90,665152758706961391,,,[],evaluable,
S000000092,docker/cli,no_injection,none,none,{},0,observed,none,91,3550175061154854400,,,[],evaluable,
S000000093,docker/cli,no_injection,none,none,{},0,observed,none,92,9612375468053201706,,,[],evaluable,
S000000094,docker/cli,no_injection,none,none,{},0,observed,none,93,2802465416176670632,,,[],evaluable,
S000000095,docker/cli,no_injection,none,none,{},0,observed,none,94,921907684246167575,,,[],evaluable,
S000000096,docker/cli,no_injection,none,none,{},0,observed,none,95,9846181390255233972,,,[],evaluable,
S000000097,docker/cli,no_injection,none,none,{},0,observed,none,96,885057623495744345,,,[],evaluable,
S000000098,docker/cli,no_injection,none,none,{},0,observed,none,97,5929173647748586493,,,[],evaluable,
S000000099,docker/cli,no_injection,none,none,{},0,observed,none,98,5031042997697836090,,,[],evaluable,
S000000100,docker/cli,no_injection,none,none,{},0,observed,none,99,290498197636078472,,,[],evaluable,
S000000101,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,0,16635745131442919908,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000102,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,1,6112604196155987052,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000103,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,2,9378474753428824026,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000104,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,3,278476772362805230,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000105,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,4,10324673150999791473,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000106,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,5,11935848396140718659,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000107,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,6,5348487333938414581,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000108,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,7,13796865036620231276,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000109,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,8,5164411146102911089,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000110,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,9,15036183151334449359,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000111,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,10,1877318941316778120,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000112,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,11,3390863346947452138,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000113,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,12,9158222025854029095,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000114,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,13,17750119924973216387,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000115,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,14,15239134076756415112,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000116,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,15,9583748841934206010,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000117,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,16,200631782174744526,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000118,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,17,3787366450463506400,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000119,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,18,1332959141752473740,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000120,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,19,6528307607570445241,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000121,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,20,1790261386341205757,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000122,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,21,8013885375027646079,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000123,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,22,17953446279843041673,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000124,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,23,15093598296027270427,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000125,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,24,10975371865717090216,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000126,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,25,2516263501266034687,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000127,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,26,7439901563953478517,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000128,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,27,554799180389198894,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000129,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,28,15230642950506673860,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000130,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,29,8145004156741433279,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000131,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,30,7125222779715901276,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000132,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,31,9162255109862174804,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000133,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,32,1365368709109337845,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000134,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,33,15230687377351194941,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000135,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,34,16752223112989788584,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000136,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,35,1206757302257032537,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000137,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,36,4791486148530337924,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000138,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,37,9919389697377496556,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000139,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,38,10107599594763225120,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000140,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,39,12035779257257502700,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000141,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,40,7539433031588317472,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000142,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,41,10467743565151542684,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000143,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,42,6630805170050461341,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000144,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,43,14996585227980946620,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000145,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,44,8443921455190983101,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000146,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,45,18215322992975423284,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000147,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,46,11186512077177402151,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000148,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,47,7374285814495094562,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000149,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,48,5938261730201475196,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000150,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,49,9537968557602922062,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000151,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,50,17443796453908149130,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000152,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,51,2317790131370815647,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000153,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,52,882689007034773494,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000154,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,53,12359240613332444619,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000155,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,54,11798339209790193615,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000156,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,55,5335628755107452745,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000157,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,56,2346373204714607736,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000158,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,57,17365846189756535117,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000159,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,58,5158767282008485548,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000160,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,59,14562616691278356699,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000161,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,60,8199614083640546352,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000162,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,61,13493116633521160805,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000163,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,62,17955502270348728090,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000164,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,63,593120401488844039,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000165,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,64,12730872643571400266,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000166,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,65,17217397509296513943,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000167,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,66,15568769194263790238,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000168,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,67,2965515183997214434,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000169,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,68,10026898837246041674,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000170,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,69,10600023734608917629,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000171,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,70,10592816048333637807,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000172,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,71,15885849782241660562,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000173,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,72,17125429876372511591,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000174,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,73,16861677572139819917,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000175,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,74,895203326560472649,35.0,35.0,"[""2026-02-23""]",evaluable,
S000000176,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,75,229716954170159845,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000177,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,76,17046858798663724741,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000178,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,77,16444837681956789494,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000179,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,78,9042232306276574234,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000180,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,79,9358806309613748578,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000181,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,80,4658878133344881291,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000182,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,81,6889120652757092953,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000183,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,82,3021608868187878260,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000184,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,83,1171905366550745881,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000185,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,84,14484171100180957866,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000186,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,85,3609378503322952412,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000187,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,86,3483881899897133725,31.0,31.0,"[""2026-01-26""]",evaluable,
S000000188,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,87,10768088110133084797,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000189,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,88,3094570118899640672,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000190,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,89,291893057727340406,32.0,32.0,"[""2026-02-02""]",evaluable,
S000000191,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,90,620933461095880092,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000192,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,91,5218742609822194063,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000193,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,92,16211996734847546622,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000194,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,93,2235720274839166768,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000195,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,94,11990332066905729708,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000196,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,95,5449686338558640001,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000197,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,96,8717375320676586564,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000198,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,97,11953499881267049541,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000199,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,98,16257468462320564784,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000200,docker/cli,metric_shift,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,99,12939095832230509650,26.0,26.0,"[""2025-12-22""]",evaluable,
S000000201,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,0,10479964814911926454,30.0,30.0,"[""2026-01-19""]",evaluable,
S000000202,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,1,17157873434845164698,34.0,34.0,"[""2026-02-16""]",evaluable,
S000000203,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,2,13936198131459367072,28.0,28.0,"[""2026-01-05""]",evaluable,
S000000204,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,3,16144400472166323187,33.0,33.0,"[""2026-02-09""]",evaluable,
S000000205,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,4,7989254141522664111,27.0,27.0,"[""2025-12-29""]",evaluable,
S000000206,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,5,7433917126881105733,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000207,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,6,219849514144575543,29.0,29.0,"[""2026-01-12""]",evaluable,
S000000208,docker/cli,metric_shift,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,7,1435539287534629409,35.0,35.0,"[""2026-02-23""]",evaluable,
