owner,repo,repo_full,release_id,tag_name,name,draft,prerelease,created_at,published_at,published_at_dt,created_at_dt,release_time_dt
tektoncd,pipeline,tektoncd/pipeline,156974222,v0.60.0,"Tekton Pipeline release v0.60.0 ""Chinchilla Tobor""",False,False,2024-05-22T14:10:38Z,2024-05-22T20:17:44Z,2024-05-22 20:17:44+00:00,2024-05-22 14:10:38+00:00,2024-05-22 20:17:44+00:00
tektoncd,pipeline,tektoncd/pipeline,152895334,v0.59.0,"Tekton Pipeline release v0.59.0 ""Scottish Fold Sox"" LTS",False,False,2024-04-25T17:17:55Z,2024-04-25T22:20:18Z,2024-04-25 22:20:18+00:00,2024-04-25 17:17:55+00:00,2024-04-25 22:20:18+00:00
tektoncd,pipeline,tektoncd/pipeline,150291066,v0.56.4,"Tekton Pipeline release v0.56.4 ""Persian Terminator""",False,False,2024-04-08T15:07:50Z,2024-04-08T21:07:48Z,2024-04-08 21:07:48+00:00,2024-04-08 15:07:50+00:00,2024-04-08 21:07:48+00:00
tektoncd,pipeline,tektoncd/pipeline,150269135,v0.53.6,"Tekton Pipeline release v0.53.6 ""Chartreux Rachael""",False,False,2024-04-08T15:23:50Z,2024-04-08T19:57:24Z,2024-04-08 19:57:24+00:00,2024-04-08 15:23:50+00:00,2024-04-08 19:57:24+00:00
tektoncd,pipeline,tektoncd/pipeline,150305228,v0.50.6,"Tekton Pipeline release v0.50.6 ""Russian Blue Daneel Olivaw""",False,False,2024-04-08T19:57:50Z,2024-04-09T08:54:55Z,2024-04-09 08:54:55+00:00,2024-04-08 19:57:50+00:00,2024-04-09 08:54:55+00:00
tektoncd,pipeline,tektoncd/pipeline,150307707,v0.47.9,"Tekton Pipeline release v0.47.9 ""Chartreux Rachael""",False,False,2024-04-08T19:57:50Z,2024-04-09T08:54:15Z,2024-04-09 08:54:15+00:00,2024-04-08 19:57:50+00:00,2024-04-09 08:54:15+00:00
tektoncd,pipeline,tektoncd/pipeline,150225208,v0.47.8,"Tekton Pipeline release v0.47.8 ""Chartreux Rachael""",False,False,2024-04-05T22:09:50Z,2024-04-08T13:51:04Z,2024-04-08 13:51:04+00:00,2024-04-05 22:09:50+00:00,2024-04-08 13:51:04+00:00
tektoncd,pipeline,tektoncd/pipeline,148694022,v0.56.3,"Tekton Pipeline release v0.56.3 ""Persian Terminator""",False,False,2024-03-27T12:18:38Z,2024-03-27T15:42:42Z,2024-03-27 15:42:42+00:00,2024-03-27 12:18:38+00:00,2024-03-27 15:42:42+00:00
tektoncd,pipeline,tektoncd/pipeline,148657559,v0.53.5,"Tekton Pipeline release v0.53.5 ""Munchkin Maschinenmensch""",False,False,2024-03-25T15:36:38Z,2024-03-27T11:52:40Z,2024-03-27 11:52:40+00:00,2024-03-25 15:36:38+00:00,2024-03-27 11:52:40+00:00
tektoncd,pipeline,tektoncd/pipeline,148671635,v0.47.7,"Tekton Pipeline release v0.47.7 ""Chartreux Rachael""",False,False,2024-03-25T16:34:37Z,2024-03-27T14:07:33Z,2024-03-27 14:07:33+00:00,2024-03-25 16:34:37+00:00,2024-03-27 14:07:33+00:00
tektoncd,pipeline,tektoncd/pipeline,147595299,v0.58.0,"Tekton Pipeline release v0.58.0 ""Bombay Robbie""",False,False,2024-03-20T07:16:34Z,2024-03-20T21:34:54Z,2024-03-20 21:34:54+00:00,2024-03-20 07:16:34+00:00,2024-03-20 21:34:54+00:00
tektoncd,pipeline,tektoncd/pipeline,144966200,v0.56.2,"Tekton Pipeline release v0.56.2 ""Persian Terminator""",False,False,2024-03-04T16:53:30Z,2024-03-06T17:55:15Z,2024-03-06 17:55:15+00:00,2024-03-04 16:53:30+00:00,2024-03-06 17:55:15+00:00
tektoncd,pipeline,tektoncd/pipeline,144952347,v0.53.4,"Tekton Pipeline release v0.53.4 ""Munchkin Maschinenmensch""",False,False,2024-03-04T17:01:30Z,2024-03-05T21:42:16Z,2024-03-05 21:42:16+00:00,2024-03-04 17:01:30+00:00,2024-03-05 21:42:16+00:00
tektoncd,pipeline,tektoncd/pipeline,142854357,v0.57.0,"Tekton Pipeline release v0.57.0 ""Burmilla Baymax""",False,False,2024-02-20T16:55:24Z,2024-02-20T20:22:07Z,2024-02-20 20:22:07+00:00,2024-02-20 16:55:24+00:00,2024-02-20 20:22:07+00:00
tektoncd,pipeline,tektoncd/pipeline,141844968,v0.56.1,"Tekton Pipeline release v0.56.1 ""Persian Terminator""",False,False,2024-02-13T08:27:20Z,2024-02-13T16:36:20Z,2024-02-13 16:36:20+00:00,2024-02-13 08:27:20+00:00,2024-02-13 16:36:20+00:00
tektoncd,pipeline,tektoncd/pipeline,137798412,v0.56.0,"Tekton Pipeline release v0.56.0 ""Persian Terminator LTS""",False,False,2024-01-19T17:05:00Z,2024-01-19T21:01:21Z,2024-01-19 21:01:21+00:00,2024-01-19 17:05:00+00:00,2024-01-19 21:01:21+00:00
tektoncd,pipeline,tektoncd/pipeline,136469856,v0.47.6,"Tekton Pipeline release v0.47.6 ""Chartreux Rachael""",False,False,2024-01-03T15:02:51Z,2024-01-10T14:20:07Z,2024-01-10 14:20:07+00:00,2024-01-03 15:02:51+00:00,2024-01-10 14:20:07+00:00
