owner,repo,repo_full,release_id,tag_name,name,draft,prerelease,created_at,published_at,published_at_dt,created_at_dt,release_time_dt
prometheus,prometheus,prometheus/prometheus,255243609,v3.7.1,3.7.1 / 2025-10-16,False,False,2025-10-17T06:29:37Z,2025-10-17T08:40:17Z,2025-10-17 08:40:17+00:00,2025-10-17 06:29:37+00:00,2025-10-17 08:40:17+00:00
prometheus,prometheus,prometheus/prometheus,254644421,v3.7.0,3.7.0 / 2025-10-15,False,False,2025-10-15T10:15:50Z,2025-10-15T11:12:57Z,2025-10-15 11:12:57+00:00,2025-10-15 10:15:50+00:00,2025-10-15 11:12:57+00:00
prometheus,prometheus,prometheus/prometheus,252993480,v3.7.0-rc.0,3.7.0-rc.0 / 2025-10-02,False,True,2025-10-08T10:50:14Z,2025-10-08T11:24:28Z,2025-10-08 11:24:28+00:00,2025-10-08 10:50:14+00:00,2025-10-08 11:24:28+00:00
prometheus,prometheus,prometheus/prometheus,248884178,v3.6.0,3.6.0 / 2025-09-17,False,False,2025-09-21T19:49:05Z,2025-09-22T08:24:59Z,2025-09-22 08:24:59+00:00,2025-09-21 19:49:05+00:00,2025-09-22 08:24:59+00:00
prometheus,prometheus,prometheus/prometheus,246501681,v3.6.0-rc.1,3.6.0-rc.1 / 2025-09-09,False,True,2025-09-11T13:37:19Z,2025-09-11T14:59:07Z,2025-09-11 14:59:07+00:00,2025-09-11 13:37:19+00:00,2025-09-11 14:59:07+00:00
prometheus,prometheus,prometheus/prometheus,242016066,v3.6.0-rc.0,3.6.0-rc.0 / 2025-08-12,False,True,2025-08-21T13:30:34Z,2025-08-23T08:40:55Z,2025-08-23 08:40:55+00:00,2025-08-21 13:30:34+00:00,2025-08-23 08:40:55+00:00
prometheus,prometheus,prometheus/prometheus,232283475,v3.5.0,3.5.0 / 2025-07-14,False,False,2025-07-14T15:34:17Z,2025-07-14T16:54:21Z,2025-07-14 16:54:21+00:00,2025-07-14 15:34:17+00:00,2025-07-14 16:54:21+00:00
prometheus,prometheus,prometheus/prometheus,231725349,v3.5.0-rc.1,3.5.0-rc.1 / 2025-07-08,False,True,2025-07-11T08:52:59Z,2025-07-11T10:19:32Z,2025-07-11 10:19:32+00:00,2025-07-11 08:52:59+00:00,2025-07-11 10:19:32+00:00
prometheus,prometheus,prometheus/prometheus,228786569,v3.5.0-rc.0,3.5.0-rc.0 / 2025-06-25,False,True,2025-06-30T13:20:41Z,2025-06-30T15:04:55Z,2025-06-30 15:04:55+00:00,2025-06-30 13:20:41+00:00,2025-06-30 15:04:55+00:00
prometheus,prometheus,prometheus/prometheus,228735295,v2.53.5,2.53.5 / 2025-06-27,False,False,2025-06-30T10:16:21Z,2025-06-30T11:01:12Z,2025-06-30 11:01:12+00:00,2025-06-30 10:16:21+00:00,2025-06-30 11:01:12+00:00
prometheus,prometheus,prometheus/prometheus,228149232,v3.4.2,3.4.2 / 2025-06-26,False,False,2025-06-26T20:49:26Z,2025-06-26T21:45:21Z,2025-06-26 21:45:21+00:00,2025-06-26 20:49:26+00:00,2025-06-26 21:45:21+00:00
prometheus,prometheus,prometheus/prometheus,222215060,v3.4.1,3.4.1 / 2025-05-31,False,False,2025-05-31T10:42:13Z,2025-05-31T13:45:40Z,2025-05-31 13:45:40+00:00,2025-05-31 10:42:13+00:00,2025-05-31 13:45:40+00:00
prometheus,prometheus,prometheus/prometheus,219259974,v3.4.0,3.4.0 / 2025-05-17,False,False,2025-05-17T06:48:57Z,2025-05-17T07:28:51Z,2025-05-17 07:28:51+00:00,2025-05-17 06:48:57+00:00,2025-05-17 07:28:51+00:00
prometheus,prometheus,prometheus/prometheus,216221535,v3.4.0-rc.0,3.4.0-rc.0 / 2025-04-29,False,True,2025-05-02T17:27:53Z,2025-05-02T18:12:48Z,2025-05-02 18:12:48+00:00,2025-05-02 17:27:53+00:00,2025-05-02 18:12:48+00:00
prometheus,prometheus,prometheus/prometheus,216198336,v3.3.1,3.3.1 / 2025-05-02,False,False,2025-05-02T15:00:59Z,2025-05-02T15:41:31Z,2025-05-02 15:41:31+00:00,2025-05-02 15:00:59+00:00,2025-05-02 15:41:31+00:00
prometheus,prometheus,prometheus/prometheus,212507746,v3.3.0,3.3.0 / 2025-04-15,False,False,2025-04-15T13:29:42Z,2025-04-18T13:46:38Z,2025-04-18 13:46:38+00:00,2025-04-15 13:29:42+00:00,2025-04-18 13:46:38+00:00
prometheus,prometheus,prometheus/prometheus,210651153,v3.3.0-rc.1,3.3.0-rc.1 / 2025-04-02,False,True,2025-04-07T04:38:36Z,2025-04-08T07:50:49Z,2025-04-08 07:50:49+00:00,2025-04-07 04:38:36+00:00,2025-04-08 07:50:49+00:00
prometheus,prometheus,prometheus/prometheus,208397200,v3.3.0-rc.0,3.3.0-rc.0 / 2025-03-11,False,True,2025-03-26T12:45:57Z,2025-03-26T14:11:50Z,2025-03-26 14:11:50+00:00,2025-03-26 12:45:57+00:00,2025-03-26 14:11:50+00:00
prometheus,prometheus,prometheus/prometheus,206588229,v2.53.4,2.53.4 / 2025-03-18,False,False,2025-03-18T14:47:37Z,2025-03-18T15:50:39Z,2025-03-18 15:50:39+00:00,2025-03-18 14:47:37+00:00,2025-03-18 15:50:39+00:00
prometheus,prometheus,prometheus/prometheus,202499171,v3.2.1,3.2.1 / 2025-02-25,False,False,2025-02-26T09:15:44Z,2025-02-26T09:55:45Z,2025-02-26 09:55:45+00:00,2025-02-26 09:15:44+00:00,2025-02-26 09:55:45+00:00
prometheus,prometheus,prometheus/prometheus,200774040,v3.2.0,3.2.0 / 2025-02-17,False,False,2025-02-17T18:39:50Z,2025-02-17T19:24:54Z,2025-02-17 19:24:54+00:00,2025-02-17 18:39:50+00:00,2025-02-17 19:24:54+00:00
prometheus,prometheus,prometheus/prometheus,198327913,v3.2.0-rc.1,3.2.0-rc.1 / 2025-01-29,False,True,2025-02-04T12:30:58Z,2025-02-04T13:55:24Z,2025-02-04 13:55:24+00:00,2025-02-04 12:30:58+00:00,2025-02-04 13:55:24+00:00
prometheus,prometheus,prometheus/prometheus,192935912,v3.1.0,3.1.0 / 2025-01-02,False,False,2025-01-02T13:50:23Z,2025-01-02T14:36:48Z,2025-01-02 14:36:48+00:00,2025-01-02 13:50:23+00:00,2025-01-02 14:36:48+00:00
prometheus,prometheus,prometheus/prometheus,192681527,v3.1.0-rc.1,3.1.0-rc.1 / 2024-12-30,False,True,2024-12-30T12:37:59Z,2024-12-30T16:46:07Z,2024-12-30 16:46:07+00:00,2024-12-30 12:37:59+00:00,2024-12-30 16:46:07+00:00
prometheus,prometheus,prometheus/prometheus,191846587,v3.1.0-rc.0,3.1.0-rc.0 / 2024-12-18,False,True,2024-12-20T12:03:09Z,2024-12-20T13:21:28Z,2024-12-20 13:21:28+00:00,2024-12-20 12:03:09+00:00,2024-12-20 13:21:28+00:00
prometheus,prometheus,prometheus/prometheus,188082737,v3.0.1,3.0.1 / 2024-11-28,False,False,2024-11-28T17:18:22Z,2024-11-28T18:12:20Z,2024-11-28 18:12:20+00:00,2024-11-28 17:18:22+00:00,2024-11-28 18:12:20+00:00
prometheus,prometheus,prometheus/prometheus,185475021,v3.0.0,3.0.0 / 2024-11-14,False,False,2024-11-14T16:30:20Z,2024-11-14T21:52:59Z,2024-11-14 21:52:59+00:00,2024-11-14 16:30:20+00:00,2024-11-14 21:52:59+00:00
prometheus,prometheus,prometheus/prometheus,184777435,v3.0.0-rc.1,3.0.0-rc.1 / 2024-11-11,False,True,2024-11-11T23:37:20Z,2024-11-12T00:56:58Z,2024-11-12 00:56:58+00:00,2024-11-11 23:37:20+00:00,2024-11-12 00:56:58+00:00
prometheus,prometheus,prometheus/prometheus,183901340,v2.55.1,2.55.1 / 2024-11-04,False,False,2024-11-06T10:06:29Z,2024-11-06T11:45:13Z,2024-11-06 11:45:13+00:00,2024-11-06 10:06:29+00:00,2024-11-06 11:45:13+00:00
prometheus,prometheus,prometheus/prometheus,183579821,v2.53.3,2.53.3 / 2024-11-04,False,False,2024-11-05T12:16:19Z,2024-11-05T13:49:23Z,2024-11-05 13:49:23+00:00,2024-11-05 12:16:19+00:00,2024-11-05 13:49:23+00:00
prometheus,prometheus,prometheus/prometheus,183377276,v3.0.0-rc.0,3.0.0-rc.0 / 2024-10-31,False,True,2024-11-04T13:38:06Z,2024-11-05T08:16:51Z,2024-11-05 08:16:51+00:00,2024-11-04 13:38:06+00:00,2024-11-05 08:16:51+00:00
prometheus,prometheus,prometheus/prometheus,181241415,v2.55.0,2.55.0 / 2024-10-22,False,False,2024-10-22T13:45:11Z,2024-10-22T15:40:18Z,2024-10-22 15:40:18+00:00,2024-10-22 13:45:11+00:00,2024-10-22 15:40:18+00:00
prometheus,prometheus,prometheus/prometheus,180284566,v2.55.0-rc.1,2.55.0-rc.1 / 2024-10-16,False,True,2024-10-16T16:46:48Z,2024-10-17T09:08:48Z,2024-10-17 09:08:48+00:00,2024-10-16 16:46:48+00:00,2024-10-17 09:08:48+00:00
prometheus,prometheus,prometheus/prometheus,179858565,v3.0.0-beta.1,v3.0.0-beta.1 / 2024-10-14,False,True,2024-10-14T15:44:41Z,2024-10-14T16:34:21Z,2024-10-14 16:34:21+00:00,2024-10-14 15:44:41+00:00,2024-10-14 16:34:21+00:00
prometheus,prometheus,prometheus/prometheus,176284291,v2.55.0-rc.0,2.55.0-rc.0 / 2024-09-20,False,True,2024-09-20T17:43:27Z,2024-09-23T14:48:12Z,2024-09-23 14:48:12+00:00,2024-09-20 17:43:27+00:00,2024-09-23 14:48:12+00:00
prometheus,prometheus,prometheus/prometheus,174412439,v3.0.0-beta.0,3.0.0-beta.0 / 2024-09-05,False,True,2024-09-10T18:53:06Z,2024-09-11T07:17:56Z,2024-09-11 07:17:56+00:00,2024-09-10 18:53:06+00:00,2024-09-11 07:17:56+00:00
prometheus,prometheus,prometheus/prometheus,172122019,v2.54.1,2.54.1 / 2024-08-27,False,False,2024-08-27T10:54:37Z,2024-08-27T16:57:35Z,2024-08-27 16:57:35+00:00,2024-08-27 10:54:37+00:00,2024-08-27 16:57:35+00:00
prometheus,prometheus,prometheus/prometheus,169503581,v2.54.0,2.54.0 / 2024-08-09,False,False,2024-08-09T11:34:47Z,2024-08-09T13:38:38Z,2024-08-09 13:38:38+00:00,2024-08-09 11:34:47+00:00,2024-08-09 13:38:38+00:00
prometheus,prometheus,prometheus/prometheus,169532682,v2.54.0+dedupelabels,2.54.0+dedupelabels / 2024-08-09,False,True,2024-08-09T14:04:51Z,2024-09-12T06:27:18Z,2024-09-12 06:27:18+00:00,2024-08-09 14:04:51+00:00,2024-09-12 06:27:18+00:00
prometheus,prometheus,prometheus/prometheus,169540876,v2.53.2,2.53.2 / 2024-08-09,False,False,2024-08-09T14:53:06Z,2024-08-09T16:09:11Z,2024-08-09 16:09:11+00:00,2024-08-09 14:53:06+00:00,2024-08-09 16:09:11+00:00
prometheus,prometheus,prometheus/prometheus,168832634,v2.54.0-rc.1,2.54.0-rc.1 / 2024-08-05,False,True,2024-08-06T05:59:52Z,2024-08-06T07:40:14Z,2024-08-06 07:40:14+00:00,2024-08-06 05:59:52+00:00,2024-08-06 07:40:14+00:00
prometheus,prometheus,prometheus/prometheus,168229570,v2.54.0-rc.0+dedupelabels,2.54.0-rc.0+dedupelabels / 2024-08-01,False,True,2024-08-01T11:35:29Z,2024-08-01T12:49:25Z,2024-08-01 12:49:25+00:00,2024-08-01 11:35:29+00:00,2024-08-01 12:49:25+00:00
prometheus,prometheus,prometheus/prometheus,167815444,v2.54.0-rc.0,2.54.0-rc.0 / 2024-07-19,False,True,2024-07-30T09:44:45Z,2024-07-30T10:36:12Z,2024-07-30 10:36:12+00:00,2024-07-30 09:44:45+00:00,2024-07-30 10:36:12+00:00
prometheus,prometheus,prometheus/prometheus,164771998,v2.53.1,2.53.1 / 2024-07-10,False,False,2024-07-10T10:14:26Z,2024-07-10T17:44:46Z,2024-07-10 17:44:46+00:00,2024-07-10 10:14:26+00:00,2024-07-10 17:44:46+00:00
prometheus,prometheus,prometheus/prometheus,161682213,v2.45.6,2.45.6 / 2024-06-21,False,False,2024-06-21T13:46:17Z,2024-06-21T15:02:50Z,2024-06-21 15:02:50+00:00,2024-06-21 13:46:17+00:00,2024-06-21 15:02:50+00:00
prometheus,prometheus,prometheus/prometheus,161226983,v2.53.0,2.53.0 / 2024-06-16,False,False,2024-06-19T07:37:21Z,2024-06-19T08:08:18Z,2024-06-19 08:08:18+00:00,2024-06-19 07:37:21+00:00,2024-06-19 08:08:18+00:00
prometheus,prometheus,prometheus/prometheus,159872252,v2.53.0-rc.1,2.53.0-rc.1 / 2024-06-11,False,True,2024-06-11T12:03:08Z,2024-06-11T13:50:54Z,2024-06-11 13:50:54+00:00,2024-06-11 12:03:08+00:00,2024-06-11 13:50:54+00:00
prometheus,prometheus,prometheus/prometheus,159318149,v2.53.0-rc.0,2.53.0-rc.0 / 2024-06-06,False,True,2024-06-07T06:44:02Z,2024-06-07T08:42:11Z,2024-06-07 08:42:11+00:00,2024-06-07 06:44:02+00:00,2024-06-07 08:42:11+00:00
prometheus,prometheus,prometheus/prometheus,154856170,v2.52.0,2.52.0 / 2024-05-07,False,False,2024-05-08T21:54:51Z,2024-05-08T22:41:09Z,2024-05-08 22:41:09+00:00,2024-05-08 21:54:51+00:00,2024-05-08 22:41:09+00:00
prometheus,prometheus,prometheus/prometheus,154064692,v2.52.0-rc.1,2.52.0-rc.1 / 2024-05-03,False,True,2024-05-03T17:42:45Z,2024-05-03T18:11:46Z,2024-05-03 18:11:46+00:00,2024-05-03 17:42:45+00:00,2024-05-03 18:11:46+00:00
prometheus,prometheus,prometheus/prometheus,153791624,v2.45.5,2.45.5 / 2024-05-02,False,False,2024-05-02T08:56:40Z,2024-05-02T16:16:59Z,2024-05-02 16:16:59+00:00,2024-05-02 08:56:40+00:00,2024-05-02 16:16:59+00:00
prometheus,prometheus,prometheus/prometheus,153491200,v2.52.0-rc.0,2.52.0-rc.0 / 2024-04-22,False,True,2024-04-30T12:19:35Z,2024-04-30T13:05:32Z,2024-04-30 13:05:32+00:00,2024-04-30 12:19:35+00:00,2024-04-30 13:05:32+00:00
prometheus,prometheus,prometheus/prometheus,150593406,v2.51.2,2.51.2 / 2024-04-09,False,False,2024-04-10T14:03:36Z,2024-04-15T07:20:56Z,2024-04-15 07:20:56+00:00,2024-04-10 14:03:36+00:00,2024-04-15 07:20:56+00:00
prometheus,prometheus,prometheus/prometheus,148829996,v2.51.1,2.51.1 / 2024-03-27,False,False,2024-03-28T09:24:30Z,2024-03-28T16:29:53Z,2024-03-28 16:29:53+00:00,2024-03-28 09:24:30+00:00,2024-03-28 16:29:53+00:00
prometheus,prometheus,prometheus/prometheus,147472269,v2.51.0+dedupelabels,2.51.0+dedupelabels / 2024-03-19,False,True,2024-03-20T13:29:54Z,2024-03-20T15:27:59Z,2024-03-20 15:27:59+00:00,2024-03-20 13:29:54+00:00,2024-03-20 15:27:59+00:00
prometheus,prometheus,prometheus/prometheus,147215327,v2.51.0,2.51.0 / 2024-03-18,False,False,2024-03-19T10:52:43Z,2024-03-19T13:56:15Z,2024-03-19 13:56:15+00:00,2024-03-19 10:52:43+00:00,2024-03-19 13:56:15+00:00
prometheus,prometheus,prometheus/prometheus,147015386,v2.45.4,2.45.4 / 2024-03-18,False,False,2024-03-18T10:55:36Z,2024-03-18T11:35:02Z,2024-03-18 11:35:02+00:00,2024-03-18 10:55:36+00:00,2024-03-18 11:35:02+00:00
prometheus,prometheus,prometheus/prometheus,146888772,v2.51.0-rc.0+dedupelabels,2.51.0-rc.0+dedupelabels / 2024-03-14,False,True,2024-03-16T12:09:16Z,2024-03-18T11:35:30Z,2024-03-18 11:35:30+00:00,2024-03-16 12:09:16+00:00,2024-03-18 11:35:30+00:00
prometheus,prometheus,prometheus/prometheus,145861982,v2.51.0-rc.0,2.51.0-rc.0 / 2024-03-07,False,True,2024-03-11T15:06:24Z,2024-03-11T15:57:01Z,2024-03-11 15:57:01+00:00,2024-03-11 15:06:24+00:00,2024-03-11 15:57:01+00:00
prometheus,prometheus,prometheus/prometheus,143613604,v2.50.1,2.50.1 / 2024-02-26,False,False,2024-02-26T11:34:11Z,2024-02-26T12:29:47Z,2024-02-26 12:29:47+00:00,2024-02-26 11:34:11+00:00,2024-02-26 12:29:47+00:00
prometheus,prometheus,prometheus/prometheus,143145116,v2.50.0,2.50.0 / 2024-02-22,False,False,2024-02-22T09:36:14Z,2024-02-22T10:30:55Z,2024-02-22 10:30:55+00:00,2024-02-22 09:36:14+00:00,2024-02-22 10:30:55+00:00
prometheus,prometheus,prometheus/prometheus,142595879,v2.50.0-rc.1,2.50.0-rc.1 / 2024-02-19,False,True,2024-02-19T13:17:00Z,2024-02-19T13:56:18Z,2024-02-19 13:56:18+00:00,2024-02-19 13:17:00+00:00,2024-02-19 13:56:18+00:00
prometheus,prometheus,prometheus/prometheus,141763612,v2.50.0-rc.0,2.50.0-rc.0 / 2024-02-13,False,True,2024-02-13T09:27:24Z,2024-02-13T10:08:54Z,2024-02-13 10:08:54+00:00,2024-02-13 09:27:24+00:00,2024-02-13 10:08:54+00:00
prometheus,prometheus,prometheus/prometheus,138349324,v2.45.3,2.45.3 / 2024-01-24,False,False,2024-01-24T14:27:28Z,2024-01-24T15:09:28Z,2024-01-24 15:09:28+00:00,2024-01-24 14:27:28+00:00,2024-01-24 15:09:28+00:00
prometheus,prometheus,prometheus/prometheus,137096041,v2.49.1,2.49.1 / 2024-01-15,False,False,2024-01-15T16:56:53Z,2024-01-15T17:49:14Z,2024-01-15 17:49:14+00:00,2024-01-15 16:56:53+00:00,2024-01-15 17:49:14+00:00
prometheus,prometheus,prometheus/prometheus,137044720,v2.49.0,2.49.0 / 2024-01-15,False,False,2024-01-15T10:49:11Z,2024-01-15T11:23:54Z,2024-01-15 11:23:54+00:00,2024-01-15 10:49:11+00:00,2024-01-15 11:23:54+00:00
prometheus,prometheus,prometheus/prometheus,136154992,v2.49.0-rc.2,2.49.0-rc.2 / 2024-01-08,False,True,2024-01-08T10:20:58Z,2024-01-08T11:07:36Z,2024-01-08 11:07:36+00:00,2024-01-08 10:20:58+00:00,2024-01-08 11:07:36+00:00
tektoncd,pipeline,tektoncd/pipeline,267047566,v1.7.0,"Tekton Pipeline release v1.7.0 ""LaPerm Little Helper""",False,False,2025-12-03T10:07:25Z,2025-12-03T11:22:40Z,2025-12-03 11:22:40+00:00,2025-12-03 10:07:25+00:00,2025-12-03 11:22:40+00:00
tektoncd,pipeline,tektoncd/pipeline,258624494,v1.6.0,"Tekton Pipeline release v1.6.0 LTS ""Sphynx Sentinels""",False,False,2025-10-30T17:04:25Z,2025-10-31T09:03:58Z,2025-10-31 09:03:58+00:00,2025-10-30 17:04:25+00:00,2025-10-31 09:03:58+00:00
tektoncd,pipeline,tektoncd/pipeline,251837142,v1.5.0,"Tekton Pipeline release v1.5.0 ""Bombay Robbie""",False,False,2025-10-02T13:30:13Z,2025-10-02T20:45:26Z,2025-10-02 20:45:26+00:00,2025-10-02 13:30:13+00:00,2025-10-02 20:45:26+00:00
tektoncd,pipeline,tektoncd/pipeline,244864883,v1.4.0,"Tekton Pipeline release v1.4.0 ""Kurilian K-2SO""",False,False,2025-09-04T16:12:02Z,2025-09-04T17:35:07Z,2025-09-04 17:35:07+00:00,2025-09-04 16:12:02+00:00,2025-09-04 17:35:07+00:00
tektoncd,pipeline,tektoncd/pipeline,245123139,v1.3.2,"Tekton Pipeline release v1.3.2 ""Maine Coon Melfina""",False,False,2025-09-04T21:39:00Z,2025-09-05T16:28:09Z,2025-09-05 16:28:09+00:00,2025-09-04 21:39:00+00:00,2025-09-05 16:28:09+00:00
tektoncd,pipeline,tektoncd/pipeline,237717871,v1.3.1,"Tekton Pipeline release v1.3.1 LTS ""Maine Coon Melfina""",False,False,2025-08-05T14:24:26Z,2025-08-05T21:34:57Z,2025-08-05 21:34:57+00:00,2025-08-05 14:24:26+00:00,2025-08-05 21:34:57+00:00
tektoncd,pipeline,tektoncd/pipeline,236870911,v1.3.0,"Tekton Pipeline release v1.3.0 LTS ""Maine Coon Melfina""",False,False,2025-07-31T21:33:21Z,2025-08-04T14:09:33Z,2025-08-04 14:09:33+00:00,2025-07-31 21:33:21+00:00,2025-08-04 14:09:33+00:00
tektoncd,pipeline,tektoncd/pipeline,229130042,v1.2.0,"Tekton Pipeline release v1.2.0 ""Dragon Li Dreadnought""",False,False,2025-06-30T12:03:57Z,2025-07-01T13:53:34Z,2025-07-01 13:53:34+00:00,2025-06-30 12:03:57+00:00,2025-07-01 13:53:34+00:00
tektoncd,pipeline,tektoncd/pipeline,223202598,v1.1.0,"Tekton Pipeline release v1.1.0 ""Selkirk Rex Saul Tigh""",False,False,2025-05-29T01:14:50Z,2025-06-04T21:12:49Z,2025-06-04 21:12:49+00:00,2025-05-29 01:14:50+00:00,2025-06-04 21:12:49+00:00
tektoncd,pipeline,tektoncd/pipeline,215491153,v1.0.0,"Tekton Pipeline release v1.0.0 ""Oriental Omnidroid"" LTS",False,False,2025-04-28T23:06:43Z,2025-05-01T00:03:29Z,2025-05-01 00:03:29+00:00,2025-04-28 23:06:43+00:00,2025-05-01 00:03:29+00:00
tektoncd,pipeline,tektoncd/pipeline,215266818,v0.59.6,"Tekton Pipeline release v0.59.6 ""Scottish Fold Sox""",False,False,2025-04-25T13:34:42Z,2025-04-29T13:33:33Z,2025-04-29 13:33:33+00:00,2025-04-25 13:34:42+00:00,2025-04-29 13:33:33+00:00
tektoncd,pipeline,tektoncd/pipeline,208966057,v0.70.0,"Tekton Pipeline release v0.70.0 ""Norwegian Forest Cat Number Five (Aaron Doral)""",False,False,2025-03-25T14:12:49Z,2025-03-28T14:47:12Z,2025-03-28 14:47:12+00:00,2025-03-25 14:12:49+00:00,2025-03-28 14:47:12+00:00
tektoncd,pipeline,tektoncd/pipeline,206992317,v0.69.1,"Tekton Pipeline release v0.69.1 ""Oriental Longhair Omnibot""",False,False,2025-03-18T16:46:45Z,2025-03-20T12:05:22Z,2025-03-20 12:05:22+00:00,2025-03-18 16:46:45+00:00,2025-03-20 12:05:22+00:00
tektoncd,pipeline,tektoncd/pipeline,207017935,v0.68.1,"Tekton Pipeline release v0.68.1 ""LaPerm Giskard Reventlov"" LTS",False,False,2025-03-14T10:46:11Z,2025-03-20T12:04:50Z,2025-03-20 12:04:50+00:00,2025-03-14 10:46:11+00:00,2025-03-20 12:04:50+00:00
tektoncd,pipeline,tektoncd/pipeline,207199645,v0.65.7,"Tekton Pipeline release v0.65.7 ""Sokoke Herbie""",False,False,2025-03-14T15:40:11Z,2025-04-29T14:22:45Z,2025-04-29 14:22:45+00:00,2025-03-14 15:40:11+00:00,2025-04-29 14:22:45+00:00
tektoncd,pipeline,tektoncd/pipeline,207234103,v0.62.9,"Tekton Pipeline release v0.62.9 ""Ragamuffin Reventlov""",False,False,2025-03-14T16:06:11Z,2025-04-29T14:22:52Z,2025-04-29 14:22:52+00:00,2025-03-14 16:06:11+00:00,2025-04-29 14:22:52+00:00
tektoncd,pipeline,tektoncd/pipeline,204296547,v0.69.0,"Tekton Pipeline release v0.69.0 ""Oriental Longhair Omnibot""",False,False,2025-03-06T09:21:03Z,2025-03-07T07:39:16Z,2025-03-07 07:39:16+00:00,2025-03-06 09:21:03+00:00,2025-03-07 07:39:16+00:00
tektoncd,pipeline,tektoncd/pipeline,197630372,v0.68.0,"Tekton Pipeline release v0.68.0 ""LaPerm Giskard Reventlov"" LTS",False,False,2025-01-30T14:31:39Z,2025-01-31T09:34:17Z,2025-01-31 09:34:17+00:00,2025-01-30 14:31:39+00:00,2025-01-31 09:34:17+00:00
tektoncd,pipeline,tektoncd/pipeline,197118090,v0.65.6,"Tekton Pipeline release v0.65.6 ""Sokoke Herbie""",False,False,2025-01-22T18:39:35Z,2025-01-28T12:49:01Z,2025-01-28 12:49:01+00:00,2025-01-22 18:39:35+00:00,2025-01-28 12:49:01+00:00
tektoncd,pipeline,tektoncd/pipeline,197133727,v0.62.8,"Tekton Pipeline release v0.62.8 ""Ragamuffin Reventlov""",False,False,2025-01-22T18:39:35Z,2025-01-28T12:48:50Z,2025-01-28 12:48:50+00:00,2025-01-22 18:39:35+00:00,2025-01-28 12:48:50+00:00
tektoncd,pipeline,tektoncd/pipeline,194732730,v0.62.7,"Tekton Pipeline release v0.62.7 ""Ragamuffin Reventlov""",False,False,2025-01-14T16:26:01Z,2025-01-14T17:20:03Z,2025-01-14 17:20:03+00:00,2025-01-14 16:26:01+00:00,2025-01-14 17:20:03+00:00
tektoncd,pipeline,tektoncd/pipeline,194737841,v0.65.5,"Tekton Pipeline release v0.65.5 ""Sokoke Herbie""",False,False,2025-01-09T10:20:03Z,2025-01-14T17:33:47Z,2025-01-14 17:33:47+00:00,2025-01-09 10:20:03+00:00,2025-01-14 17:33:47+00:00
