repo_full,week,ci_duration_med_min,ci_failure_rate,ci_runs
tektoncd/pipeline,2025-07-07,0.31666666666666665,0.09623430962343096,239
docker/cli,2025-07-07,1.9,0.18181818181818182,297
docker/cli,2025-07-14,1.8333333333333333,0.2116564417177914,326
tektoncd/pipeline,2025-07-14,0.5333333333333333,0.09448818897637795,381
prometheus/prometheus,2025-07-14,0.9333333333333333,0.1276595744680851,235
docker/cli,2025-07-21,1.8833333333333333,0.2576419213973799,458
tektoncd/pipeline,2025-07-21,0.35,0.0967032967032967,455
prometheus/prometheus,2025-07-21,0.9166666666666666,0.1509433962264151,424
docker/cli,2025-07-28,1.8833333333333333,0.22648752399232247,521
prometheus/prometheus,2025-07-28,1.1333333333333333,0.18095238095238095,525
tektoncd/pipeline,2025-07-28,0.5333333333333333,0.12252252252252252,555
prometheus/prometheus,2025-08-04,1.0,0.17716535433070865,508
tektoncd/pipeline,2025-08-04,0.16666666666666666,0.047058823529411764,255
docker/cli,2025-08-04,1.9333333333333333,0.15428571428571428,350
tektoncd/pipeline,2025-08-11,1.7333333333333334,0.0764525993883792,327
docker/cli,2025-08-11,1.7833333333333334,0.15087719298245614,570
prometheus/prometheus,2025-08-11,0.8833333333333333,0.2655038759689923,516
docker/cli,2025-08-18,1.65,0.11764705882352941,68
tektoncd/pipeline,2025-08-18,0.3833333333333333,0.07389162561576355,406
prometheus/prometheus,2025-08-18,0.4,0.23921568627450981,510
tektoncd/pipeline,2025-08-25,0.48333333333333334,0.09359605911330049,203
docker/cli,2025-08-25,1.7666666666666666,0.14163090128755365,932
prometheus/prometheus,2025-08-25,0.6166666666666667,0.21179039301310043,458
docker/cli,2025-09-01,1.7833333333333334,0.17611026033690658,653
prometheus/prometheus,2025-09-01,0.85,0.22842639593908629,591
tektoncd/pipeline,2025-09-01,0.5166666666666667,0.11655011655011654,429
tektoncd/pipeline,2025-09-08,0.3,0.0625,192
docker/cli,2025-09-08,1.8166666666666667,0.1729106628242075,347
prometheus/prometheus,2025-09-08,0.85,0.21933962264150944,424
prometheus/prometheus,2025-09-15,0.38333333333333336,0.15384615384615385,429
tektoncd/pipeline,2025-09-15,0.5166666666666667,0.08695652173913043,138
prometheus/prometheus,2025-09-22,0.85,0.2,305
tektoncd/pipeline,2025-09-22,0.5333333333333333,0.07368421052631578,95
docker/cli,2025-09-22,1.7333333333333334,0.206,1000
tektoncd/pipeline,2025-09-29,0.5583333333333333,0.10204081632653061,294
docker/cli,2025-09-29,1.7833333333333334,0.1440443213296399,361
prometheus/prometheus,2025-09-29,0.3416666666666667,0.20526315789473684,190
prometheus/prometheus,2025-10-06,0.5,0.1381011097410604,811
tektoncd/pipeline,2025-10-06,0.9416666666666667,0.11592178770949721,716
docker/cli,2025-10-06,1.9,0.2676056338028169,639
prometheus/prometheus,2025-10-13,0.35,0.14603960396039603,404
tektoncd/pipeline,2025-10-13,0.5,0.10610079575596817,377
docker/cli,2025-10-13,1.7333333333333334,0.2145214521452145,303
tektoncd/pipeline,2025-10-20,0.9916666666666667,0.11577181208053691,596
docker/cli,2025-10-20,1.9333333333333333,0.2796610169491525,236
prometheus/prometheus,2025-10-20,0.55,0.10906040268456375,596
docker/cli,2025-10-27,2.033333333333333,0.29411764705882354,119
prometheus/prometheus,2025-10-27,13.7,0.294478527607362,163
tektoncd/pipeline,2025-10-27,1.2166666666666668,0.10818713450292397,684
prometheus/prometheus,2025-11-03,0.5166666666666667,0.1875746714456392,837
tektoncd/pipeline,2025-11-03,0.3333333333333333,0.12101910828025478,314
docker/cli,2025-11-03,1.85,0.14399092970521543,882
docker/cli,2025-11-10,1.8333333333333333,0.14342629482071714,251
prometheus/prometheus,2025-11-10,0.2833333333333333,0.18009478672985782,211
tektoncd/pipeline,2025-11-10,0.65,0.07492795389048991,347
tektoncd/pipeline,2025-11-17,0.7083333333333333,0.13440860215053763,372
docker/cli,2025-11-17,1.7916666666666667,0.0625,96
prometheus/prometheus,2025-11-17,0.45,0.1855146124523507,787
tektoncd/pipeline,2025-11-24,0.9333333333333333,0.12903225806451613,372
docker/cli,2025-11-24,1.9666666666666666,0.1329479768786127,173
prometheus/prometheus,2025-11-24,0.4,0.16710875331564987,377
prometheus/prometheus,2025-12-01,0.36666666666666664,0.216,625
docker/cli,2025-12-01,1.9333333333333333,0.13725490196078433,102
tektoncd/pipeline,2025-12-01,0.7,0.08012820512820513,624
tektoncd/pipeline,2025-12-08,2.658333333333333,0.1,10
prometheus/prometheus,2025-12-08,0.36666666666666664,0.3111111111111111,45
docker/cli,2025-12-08,1.9833333333333334,0.10650887573964497,169
tektoncd/pipeline,2025-12-15,0.8666666666666667,0.06454816285998013,1007
docker/cli,2025-12-15,2.033333333333333,0.15976331360946747,169
prometheus/prometheus,2025-12-15,0.4666666666666667,0.2226762002042901,979
prometheus/prometheus,2025-12-22,0.3,0.1751269035532995,394
tektoncd/pipeline,2025-12-22,1.2166666666666668,0.04950495049504951,202
docker/cli,2025-12-22,1.7833333333333334,0.0898876404494382,89
prometheus/prometheus,2025-12-29,0.45,0.17525773195876287,582
tektoncd/pipeline,2025-12-29,0.6333333333333333,0.08080808080808081,99
docker/cli,2025-12-29,0.6666666666666666,0.0,7
tektoncd/pipeline,2026-01-05,0.6166666666666667,0.07024793388429752,242
docker/cli,2026-01-05,1.8,0.14925373134328357,67
prometheus/prometheus,2026-01-05,0.23333333333333334,0.25,108
prometheus/prometheus,2026-01-12,0.45,0.20179372197309417,892
tektoncd/pipeline,2026-01-12,0.7166666666666667,0.05351170568561873,299
docker/cli,2026-01-12,1.9333333333333331,0.14893617021276595,282
docker/cli,2026-01-19,0.13333333333333333,0.03260869565217391,92
tektoncd/pipeline,2026-01-19,0.8833333333333333,0.013422818791946308,149
prometheus/prometheus,2026-01-19,0.45,0.22752497225305215,901
docker/cli,2026-01-26,1.8166666666666667,0.08421052631578947,95
prometheus/prometheus,2026-01-26,0.45,0.24242424242424243,99
tektoncd/pipeline,2026-01-26,0.9,0.024390243902439025,41
