repo_full,week,share_with_retry,avg_runs_per_key,p95_runs_per_key,n_keys
tektoncd/pipeline,2025-10-28,0.10082304526748971,1.3930041152263375,3.0,486
docker/cli,2025-10-28,0.08860759493670886,1.139240506329114,2.0,237
docker/cli,2025-11-04,0.07734806629834254,1.1629834254143647,2.0,724
prometheus/prometheus,2025-11-04,0.0856269113149847,1.154434250764526,2.0,654
tektoncd/pipeline,2025-11-04,0.17333333333333334,1.8133333333333332,5.549999999999983,150
tektoncd/pipeline,2025-11-11,0.18072289156626506,1.8975903614457832,4.75,166
docker/cli,2025-11-11,0.168,1.336,3.0,125
prometheus/prometheus,2025-11-11,0.07983193277310924,1.1764705882352942,2.0,238
tektoncd/pipeline,2025-11-18,0.10572687224669604,1.4140969162995596,4.0,227
docker/cli,2025-11-18,0.28,1.52,3.299999999999997,75
prometheus/prometheus,2025-11-18,0.059190031152647975,1.1199376947040498,2.0,642
prometheus/prometheus,2025-11-25,0.0688836104513064,1.1187648456057007,2.0,421
docker/cli,2025-11-25,0.16666666666666666,1.2543859649122806,3.0,114
tektoncd/pipeline,2025-11-25,0.12779552715654952,1.6613418530351438,5.0,313
tektoncd/pipeline,2025-12-02,0.1891891891891892,1.833976833976834,6.0,259
prometheus/prometheus,2025-12-02,0.08315565031982942,1.1300639658848615,2.0,469
docker/cli,2025-12-02,0.20588235294117646,1.3823529411764706,3.299999999999997,68
tektoncd/pipeline,2025-12-09,0.1875,1.4375,3.25,16
docker/cli,2025-12-09,0.10666666666666667,1.18,3.0,150
prometheus/prometheus,2025-12-09,0.025252525252525252,1.0252525252525253,1.0,198
prometheus/prometheus,2025-12-16,0.08863920099875156,1.1448189762796503,2.0,801
tektoncd/pipeline,2025-12-16,0.13030746705710103,1.664714494875549,6.0,683
docker/cli,2025-12-16,0.11475409836065574,1.2704918032786885,3.0,122
prometheus/prometheus,2025-12-23,0.08680555555555555,1.1909722222222223,3.0,288
tektoncd/pipeline,2025-12-23,0.25,1.8636363636363635,6.0,44
docker/cli,2025-12-23,0.08,1.1866666666666668,3.0,75
tektoncd/pipeline,2025-12-30,0.11764705882352941,2.014705882352941,6.649999999999999,68
docker/cli,2025-12-30,0.07692307692307693,1.0769230769230769,1.3999999999999986,13
prometheus/prometheus,2025-12-30,0.07773109243697479,1.1281512605042017,2.0,476
prometheus/prometheus,2026-01-06,0.04460966542750929,1.070631970260223,1.0,269
tektoncd/pipeline,2026-01-06,0.12571428571428572,1.7885714285714285,6.199999999999932,175
docker/cli,2026-01-06,0.047619047619047616,1.1547619047619047,1.0,84
docker/cli,2026-01-13,0.07423580786026202,1.165938864628821,2.0,229
tektoncd/pipeline,2026-01-13,0.11875,1.74375,6.099999999999966,160
prometheus/prometheus,2026-01-13,0.07355242566510173,1.1142410015649453,2.0,639
docker/cli,2026-01-20,0.06944444444444445,1.1388888888888888,3.0,144
prometheus/prometheus,2026-01-20,0.03492063492063492,1.0582010582010581,1.0,945
tektoncd/pipeline,2026-01-20,0.16666666666666666,2.1666666666666665,6.0,36
