repo_full,pr_number,node_id,state,draft,created_at,updated_at,closed_at,merged_at,author_login,author_type,author_association,additions,deletions,changed_files,commits_count,comments_count,review_comments_count,head_sha,head_ref,head_repo_full,base_sha,base_ref,merge_commit_sha,created_at_ts,closed_at_ts,merged_at_ts,event_type,resolution_at,observation_end_at,first_qualified_review_at,received_qualified_review,author_login_key,author_prior_pr_count,author_prior_resolved_count,author_prior_merged_count,author_prior_merge_rate,author_newcomer,repo_open_prs_at_creation,repo_pr_arrivals_28d,repo_merges_28d,ci_context_week,prior_week_ci_attempts_total,prior_week_ci_outcome_n,prior_week_ci_failure_count,prior_week_ci_failure_rate,prior_week_ci_latency_n,prior_week_ci_feedback_latency_median_min,prior_week_ci_feedback_latency_p90_min,prior_week_ci_queue_latency_median_min,prior_week_ci_execution_span_median_min,prior_week_ci_logical_run_n,prior_week_ci_rerun_count,prior_week_ci_rerun_rate,prior_week_ci_additional_attempt_count,prior_week_ci_failed_then_passed_count,prior_week_ci_failed_then_passed_rate_among_reruns,prior_week_ci_merged_pr_count,prior_week_ci_pr_cycle_hours_median,prior_week_ci_qualified_review_latency_hours_median,prior_week_ci_reviewed_pr_n,prior_week_ci_churn_median,prior_week_ci_changed_files_median,prior_week_ci_commits_median,prior_week_ci_created_pr_count,prior_week_ci_workflow_count,prior_week_ci_workflow_concentration_hhi,prior_week_ci_release_count,prior_week_ci_split,prior_week_ci_external_calibration,prior_week_ci_external_evaluation_eligible,prior_week_ci_workflow_adjusted_latency_log,prior_week_ci_latency_log_raw,prior_week_ci_latency_log,prior_week_ci_context_available,time_to_first_review_hours,time_to_resolution_hours,resolution_observed
containerd/containerd,11938,PR_kwDOAr9FWM6ZAAvM,closed,0,2025-06-04T10:47:38Z,2025-06-07T05:42:34Z,2025-06-06T23:00:55Z,2025-06-06T23:00:55Z,thaJeztah,User,MEMBER,20,20,9,1,2,0,17c632e785df90749708c32d6842e7b5010dcee6,oci_linting,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 10:47:38+00:00,2025-06-06 23:00:55+00:00,2025-06-06 23:00:55+00:00,merged,2025-06-06 23:00:55+00:00,2025-06-06 23:00:55+00:00,2025-06-05 00:51:46+00:00,1,thajeztah,0,0,0,,1,6,10,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.068888888888889,60.22138888888889,1
containerd/containerd,11939,PR_kwDOAr9FWM6ZAF2b,closed,0,2025-06-04T10:54:16Z,2025-06-04T15:49:32Z,2025-06-04T15:42:40Z,2025-06-04T15:42:40Z,thaJeztah,User,MEMBER,2,78,3,1,0,0,4de598d94ba2340ac5b73f503ef7049bfa5b79e3,oci_rm_go116,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 10:54:16+00:00,2025-06-04 15:42:40+00:00,2025-06-04 15:42:40+00:00,merged,2025-06-04 15:42:40+00:00,2025-06-04 15:42:40+00:00,2025-06-04 12:48:25+00:00,1,thajeztah,1,0,0,,0,7,11,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.9025,4.806666666666667,1
containerd/containerd,11941,PR_kwDOAr9FWM6ZAlYn,closed,0,2025-06-04T11:44:22Z,2025-06-04T15:49:47Z,2025-06-04T15:42:40Z,2025-06-04T15:42:40Z,thaJeztah,User,MEMBER,35,86,1,1,0,0,ac3c3ad5da8d39fe909ec9b97214ef6a3a48feb7,oci_test_cleans,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 11:44:22+00:00,2025-06-04 15:42:40+00:00,2025-06-04 15:42:40+00:00,merged,2025-06-04 15:42:40+00:00,2025-06-04 15:42:40+00:00,2025-06-04 12:50:31+00:00,1,thajeztah,2,0,0,,0,8,12,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1025,3.9716666666666667,1
containerd/containerd,11942,PR_kwDOAr9FWM6ZA-KC,closed,0,2025-06-04T12:25:37Z,2025-08-19T08:59:32Z,2025-08-18T21:27:25Z,2025-08-18T21:27:25Z,thaJeztah,User,MEMBER,26,0,1,1,0,0,cf667aa7ee1cceb20ef00704f20642e91331ce5e,oci_test_WithParentCgroupDevices,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 12:25:37+00:00,2025-08-18 21:27:25+00:00,2025-08-18 21:27:25+00:00,merged,2025-08-18 21:27:25+00:00,2025-08-18 21:27:25+00:00,2025-06-07 23:40:33+00:00,1,thajeztah,3,0,0,,0,9,13,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83.24888888888889,1809.03,1
containerd/containerd,11943,PR_kwDOAr9FWM6ZBLAT,closed,0,2025-06-04T12:46:12Z,2025-06-04T16:09:59Z,2025-06-04T16:09:59Z,2025-06-04T16:09:59Z,k8s-infra-cherrypick-robot,User,NONE,1,1,1,1,1,0,9b6c1949af50ee264d1d3a8b1aafd05149c4b8fe,cherry-pick-11881-to-release/2.1,k8s-infra-cherrypick-robot/containerd,6d88d93313fb236ffec2fbd42f0909ab5a314abf,release/2.1,,2025-06-04 12:46:12+00:00,2025-06-04 16:09:59+00:00,2025-06-04 16:09:59+00:00,merged,2025-06-04 16:09:59+00:00,2025-06-04 16:09:59+00:00,2025-06-04 12:47:37+00:00,1,k8s-infra-cherrypick-robot,3,2,2,1.0,0,10,14,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02361111111111111,3.3963888888888887,1
containerd/containerd,11944,PR_kwDOAr9FWM6ZBLGl,closed,0,2025-06-04T12:46:23Z,2025-06-04T16:09:45Z,2025-06-04T16:09:45Z,2025-06-04T16:09:45Z,k8s-infra-cherrypick-robot,User,NONE,1,1,1,1,1,0,fc9235910d4dca7cd6189bb54f522d396c80db51,cherry-pick-11881-to-release/2.0,k8s-infra-cherrypick-robot/containerd,6d826b9e9779336f35366624cedfedd483b4d07c,release/2.0,,2025-06-04 12:46:23+00:00,2025-06-04 16:09:45+00:00,2025-06-04 16:09:45+00:00,merged,2025-06-04 16:09:45+00:00,2025-06-04 16:09:45+00:00,2025-06-04 12:47:51+00:00,1,k8s-infra-cherrypick-robot,4,2,2,1.0,0,11,15,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.024444444444444446,3.3894444444444445,1
containerd/containerd,11945,PR_kwDOAr9FWM6ZCHyA,closed,0,2025-06-04T14:09:57Z,2025-06-10T11:37:58Z,2025-06-08T06:55:46Z,2025-06-08T06:55:46Z,thaJeztah,User,MEMBER,9,10,2,1,0,1,d72c21450fc3b1c9a7e6be0659f32af2ed1c3782,oci_no_vars_for_funcs,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 14:09:57+00:00,2025-06-08 06:55:46+00:00,2025-06-08 06:55:46+00:00,merged,2025-06-08 06:55:46+00:00,2025-06-08 06:55:46+00:00,2025-06-07 11:02:38+00:00,1,thajeztah,4,0,0,,0,12,16,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68.87805555555556,88.76361111111112,1
containerd/containerd,11946,PR_kwDOAr9FWM6ZCXJ_,closed,0,2025-06-04T14:28:19Z,2025-06-29T06:22:17Z,2025-06-09T02:37:49Z,2025-06-09T02:37:49Z,thaJeztah,User,MEMBER,12,10,1,1,2,1,8de612020e5033267765f3a6d6e6fad7030e7f33,oci_privileged_no_var,thaJeztah/containerd,bcd000f443ef363b96e6dd4d67b4f6babfdef100,main,,2025-06-04 14:28:19+00:00,2025-06-09 02:37:49+00:00,2025-06-09 02:37:49+00:00,merged,2025-06-09 02:37:49+00:00,2025-06-09 02:37:49+00:00,2025-06-07 11:03:14+00:00,1,thajeztah,5,0,0,,0,13,17,3,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68.58194444444445,108.15833333333333,1
containerd/containerd,11947,PR_kwDOAr9FWM6ZEQQ1,closed,0,2025-06-04T17:48:19Z,2025-06-06T18:17:08Z,2025-06-06T18:17:08Z,2025-06-06T18:17:08Z,kiashok,User,CONTRIBUTOR,41,31,9,1,4,0,2f1948a503fbd7c3d053c3a19b2b06045fdeea4b,update-windows-ci,kiashok/containerd,41209bd1c240bc4287d58d1630e22a20a1a5f753,main,,2025-06-04 17:48:19+00:00,2025-06-06 18:17:08+00:00,2025-06-06 18:17:08+00:00,merged,2025-06-06 18:17:08+00:00,2025-06-06 18:17:08+00:00,2025-06-06 16:13:09+00:00,1,kiashok,0,0,0,,1,10,18,7,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46.41388888888889,48.48027777777778,1
containerd/containerd,11951,PR_kwDOAr9FWM6ZQKqr,closed,0,2025-06-05T18:21:38Z,2025-08-21T16:40:22Z,2025-08-21T16:40:13Z,,chrishenzie,User,MEMBER,99723,1530,347,2,2,0,b97effd54c477cc7c732d71bd0edc629ae238ba0,nri-deprecation-warning,chrishenzie/containerd,362fa7f4a58808d82c21c53efb5b9d59068039f2,main,,2025-06-05 18:21:38+00:00,2025-08-21 16:40:13+00:00,,closed_unmerged,2025-08-21 16:40:13+00:00,2025-08-21 16:40:13+00:00,,0,chrishenzie,0,0,0,,1,11,19,7,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1846.3097222222223,1
containerd/containerd,11952,PR_kwDOAr9FWM6ZQVkh,closed,0,2025-06-05T18:39:38Z,2025-06-06T18:59:08Z,2025-06-06T18:59:08Z,2025-06-06T18:59:08Z,k8s-infra-cherrypick-robot,User,NONE,141,66,7,1,1,0,c71f77170ef2640197884644acfe5ba28b3cf6ab,cherry-pick-11900-to-release/2.1,k8s-infra-cherrypick-robot/containerd,7e9a44cb26232959194a789fedaa7a1a398f5ca1,release/2.1,,2025-06-05 18:39:38+00:00,2025-06-06 18:59:08+00:00,2025-06-06 18:59:08+00:00,merged,2025-06-06 18:59:08+00:00,2025-06-06 18:59:08+00:00,2025-06-06 18:57:15+00:00,1,k8s-infra-cherrypick-robot,5,4,4,1.0,0,12,20,7,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.29361111111111,24.325,1
containerd/containerd,11955,PR_kwDOAr9FWM6ZbzTo,closed,0,2025-06-06T18:40:38Z,2025-06-08T06:27:53Z,2025-06-08T06:27:53Z,2025-06-08T06:27:53Z,kiashok,User,CONTRIBUTOR,41,31,9,1,0,0,70bcb9b55edf9d832a4f8162a12830bcaf646695,update-to-ws2025,kiashok/containerd,8b04df782eb1e8233da410593e828bcda4f0f71f,release/2.1,,2025-06-06 18:40:38+00:00,2025-06-08 06:27:53+00:00,2025-06-08 06:27:53+00:00,merged,2025-06-08 06:27:53+00:00,2025-06-08 06:27:53+00:00,2025-06-06 18:56:50+00:00,1,kiashok,1,1,1,1.0,0,11,21,9,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.27,35.7875,1
containerd/containerd,11956,PR_kwDOAr9FWM6ZfgE0,closed,1,2025-06-07T07:40:05Z,2025-11-21T00:27:30Z,2025-11-21T00:27:30Z,,dmcgowan,User,MEMBER,218,106,4,2,3,0,bb14344f76b3701b4e79282a3dfcd1cbac85f8e9,gc-lease-references,dmcgowan/containerd,a6c250ed77a2c87f1012afc67acc94db87fe21e6,main,,2025-06-07 07:40:05+00:00,2025-11-21 00:27:30+00:00,,closed_unmerged,2025-11-21 00:27:30+00:00,2025-11-21 00:27:30+00:00,,0,dmcgowan,2,0,0,,0,10,22,11,2025-05-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4000.7902777777776,1
containerd/containerd,11957,PR_kwDOAr9FWM6ZoYBg,closed,0,2025-06-09T06:27:07Z,2025-06-09T06:29:43Z,2025-06-09T06:29:43Z,,ningmingxiao,User,CONTRIBUTOR,4,0,3,1,1,0,8ae4539ded42cf349077eff8c97e70c1aa56a91d,add_kernel,ningmingxiao/containerd,1de895276b374cb272e9848530d5305055266b8a,main,,2025-06-09 06:27:07+00:00,2025-06-09 06:29:43+00:00,,closed_unmerged,2025-06-09 06:29:43+00:00,2025-06-09 06:29:43+00:00,,0,ningmingxiao,2,2,0,0.0,0,6,23,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.043333333333333335,1
containerd/containerd,11960,PR_kwDOAr9FWM6ZrV5M,closed,0,2025-06-09T12:24:18Z,2026-04-22T00:24:58Z,2026-04-22T00:24:58Z,,aciba90,User,NONE,398,4,6,1,9,2,062ee28bc3686ad2360c2ff9db870e3db29f5719,10329-ingrate-with-systemd-watchdog-for-daemon-health,aciba90/containerd,c3588a40745d5164209d050f6e189eb5fba58740,main,,2025-06-09 12:24:18+00:00,2026-04-22 00:24:58+00:00,,closed_unmerged,2026-04-22 00:24:58+00:00,2026-04-22 00:24:58+00:00,2025-06-09 14:51:17+00:00,1,aciba90,0,0,0,,1,6,24,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.4497222222222224,7596.011111111111,1
containerd/containerd,11961,PR_kwDOAr9FWM6ZstvW,closed,0,2025-06-09T14:53:25Z,2025-07-16T18:11:35Z,2025-06-10T04:37:14Z,2025-06-10T04:37:14Z,austinvazquez,User,MEMBER,10,10,9,1,3,0,415df38927a5050bc897bec5480caa2c3d99652d,update-go-06052025-in-ci,austinvazquez/containerd,1de895276b374cb272e9848530d5305055266b8a,main,,2025-06-09 14:53:25+00:00,2025-06-10 04:37:14+00:00,2025-06-10 04:37:14+00:00,merged,2025-06-10 04:37:14+00:00,2025-06-10 04:37:14+00:00,2025-06-09 17:46:52+00:00,1,austinvazquez,0,0,0,,1,7,25,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.890833333333333,13.730277777777777,1
containerd/containerd,11962,PR_kwDOAr9FWM6ZwUGb,closed,0,2025-06-09T22:09:00Z,2025-06-12T04:59:28Z,2025-06-11T17:05:48Z,2025-06-11T17:05:48Z,kiashok,User,CONTRIBUTOR,28,1,2,1,6,3,63b9eae62e4a927269d3c7d1d0a50eb9095c1ee1,tag-2.1.2,kiashok/containerd,5531309bca9281a7d9895867cdf42008bba390d5,release/2.1,,2025-06-09 22:09:00+00:00,2025-06-11 17:05:48+00:00,2025-06-11 17:05:48+00:00,merged,2025-06-11 17:05:48+00:00,2025-06-11 17:05:48+00:00,2025-06-09 22:22:09+00:00,1,kiashok,2,2,2,1.0,0,8,26,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21916666666666668,42.946666666666665,1
containerd/containerd,11963,PR_kwDOAr9FWM6ZwwE1,closed,0,2025-06-09T23:26:11Z,2025-06-27T20:08:16Z,2025-06-27T20:08:08Z,2025-06-27T20:08:08Z,dependabot[bot],Bot,CONTRIBUTOR,516,556,34,1,2,0,100b78711d4f090c11e65173ce5f854e3132eead,dependabot/go_modules/google.golang.org/grpc-1.73.0,containerd/containerd,865b4195a3e615ca07daa020de4485c4d788fb87,main,,2025-06-09 23:26:11+00:00,2025-06-27 20:08:08+00:00,2025-06-27 20:08:08+00:00,merged,2025-06-27 20:08:08+00:00,2025-06-27 20:08:08+00:00,2025-06-12 21:21:18+00:00,1,dependabot[bot],1,1,1,1.0,0,9,27,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69.9186111111111,428.69916666666666,1
containerd/containerd,11964,PR_kwDOAr9FWM6ZwwMj,closed,0,2025-06-09T23:26:37Z,2025-06-20T00:51:09Z,2025-06-20T00:51:00Z,2025-06-20T00:51:00Z,dependabot[bot],Bot,CONTRIBUTOR,30,25,5,1,2,0,7c97cd331a0369dddc7fbf039296d947cf1ab80f,dependabot/go_modules/golang-x-6abdd2e072,containerd/containerd,2af24b5629859019a7201c59dda611d25d608e65,main,,2025-06-09 23:26:37+00:00,2025-06-20 00:51:00+00:00,2025-06-20 00:51:00+00:00,merged,2025-06-20 00:51:00+00:00,2025-06-20 00:51:00+00:00,2025-06-09 23:32:02+00:00,1,dependabot[bot],2,1,1,1.0,0,10,28,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.09027777777777778,241.4063888888889,1
containerd/containerd,11965,PR_kwDOAr9FWM6Zwwms,closed,0,2025-06-09T23:28:12Z,2025-06-17T01:23:46Z,2025-06-17T01:23:44Z,,dependabot[bot],Bot,CONTRIBUTOR,3,3,2,1,2,0,ed2411c46c0c10fa5471a2d4883a4c7304abc5a3,dependabot/github_actions/github/codeql-action-3.28.19,containerd/containerd,1de895276b374cb272e9848530d5305055266b8a,main,,2025-06-09 23:28:12+00:00,2025-06-17 01:23:44+00:00,,closed_unmerged,2025-06-17 01:23:44+00:00,2025-06-17 01:23:44+00:00,2025-06-09 23:31:34+00:00,1,dependabot[bot],3,1,1,1.0,0,11,29,16,2025-06-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.05611111111111111,169.92555555555555,1
